PROMPTTYPE,Index,Requirement,Ground Truth,Response,Equivalent
ARTEMIS,4,gotNull shall be asserted when the first Null after the receiver is enabled is detected,G((receiver_enabled) -> (! (gotNull_assert) U (Null_detected))),G (receiver_enabled & X (Null_detected & !gotNull_assert) -> X (gotNull_assert)),False
ARTEMIS,4,gotNull shall be asserted when the first Null after the receiver is enabled is detected,G((receiver_enabled) -> (! (gotNull_assert) U (Null_detected))),G (receiver_enabled & X (Null_detected & !gotNull_assert) -> X (gotNull_assert)),False
ARTEMIS,4,gotNull shall be asserted when the first Null after the receiver is enabled is detected,G((receiver_enabled) -> (! (gotNull_assert) U (Null_detected))),G (receiver_enabled & X (Null_detected & !X Null_detected) -> X gotNull_assert),False
ARTEMIS,4,gotNull shall be asserted when the first Null after the receiver is enabled is detected,G((receiver_enabled) -> (! (gotNull_assert) U (Null_detected))),G (receiver_enabled & X (Null_detected & !gotNull_assert) -> X (gotNull_assert)),False
ARTEMIS,4,gotNull shall be asserted when the first Null after the receiver is enabled is detected,G((receiver_enabled) -> (! (gotNull_assert) U (Null_detected))),G (receiver_enabled & X (Null_detected & !gotNull_assert) -> X (gotNull_assert)),False
ARTEMIS,4,gotNull shall be asserted when the first Null after the receiver is enabled is detected,G((receiver_enabled) -> (! (gotNull_assert) U (Null_detected))),G (receiver_enabled & X (Null_detected & !X Null_detected) -> X gotNull_assert),False
ARTEMIS,4,gotNull shall be asserted when the first Null after the receiver is enabled is detected,G((receiver_enabled) -> (! (gotNull_assert) U (Null_detected))),G (receiver_enabled & X (Null_detected & !X Null_detected) -> X gotNull_assert),False
ARTEMIS,4,gotNull shall be asserted when the first Null after the receiver is enabled is detected,G((receiver_enabled) -> (! (gotNull_assert) U (Null_detected))),G (receiver_enabled & X (Null_detected & !gotNull_assert) -> X (gotNull_assert)),False
ARTEMIS,4,gotNull shall be asserted when the first Null after the receiver is enabled is detected,G((receiver_enabled) -> (! (gotNull_assert) U (Null_detected))),G (receiver_enabled & X (Null_detected & !X Null_detected) -> X gotNull_assert),False
ARTEMIS,4,gotNull shall be asserted when the first Null after the receiver is enabled is detected,G((receiver_enabled) -> (! (gotNull_assert) U (Null_detected))),G (receiver_enabled & X (Null_detected & !X Null_detected) -> X gotNull_assert),False
ARTEMIS,4,gotNull shall be asserted when the first Null after the receiver is enabled is detected,G((receiver_enabled) -> (! (gotNull_assert) U (Null_detected))),G (receiver_enabled & X (Null_detected & !X Null_detected) -> X gotNull_assert),False
ARTEMIS,4,gotNull shall be asserted when the first Null after the receiver is enabled is detected,G((receiver_enabled) -> (! (gotNull_assert) U (Null_detected))),G (receiver_enabled & X (Null_detected & !X Null_detected) -> X gotNull_assert),False
ARTEMIS,4,gotNull shall be asserted when the first Null after the receiver is enabled is detected,G((receiver_enabled) -> (! (gotNull_assert) U (Null_detected))),G (receiver_enabled & X (Null_detected & !gotNull_assert) -> X (gotNull_assert)),False
ARTEMIS,4,gotNull shall be asserted when the first Null after the receiver is enabled is detected,G((receiver_enabled) -> (! (gotNull_assert) U (Null_detected))),G (receiver_enabled & X (Null_detected & !gotNull_assert) -> X (gotNull_assert)),False
ARTEMIS,4,gotNull shall be asserted when the first Null after the receiver is enabled is detected,G((receiver_enabled) -> (! (gotNull_assert) U (Null_detected))),G (receiver_enabled & X (Null_detected & !gotNull_assert) -> X (gotNull_assert)),False
ARTEMIS,4,gotNull shall be asserted when the first Null after the receiver is enabled is detected,G((receiver_enabled) -> (! (gotNull_assert) U (Null_detected))),G (receiver_enabled & X (Null_detected & !gotNull_assert) -> X (gotNull_assert)),False
ARTEMIS,4,gotNull shall be asserted when the first Null after the receiver is enabled is detected,G((receiver_enabled) -> (! (gotNull_assert) U (Null_detected))),G (receiver_enabled & X (Null_detected & !gotNull_assert) -> X (gotNull_assert)),False
ARTEMIS,4,gotNull shall be asserted when the first Null after the receiver is enabled is detected,G((receiver_enabled) -> (! (gotNull_assert) U (Null_detected))),G (receiver_enabled & X (Null_detected & !gotNull_assert) -> X (gotNull_assert)),False
