Requirement,Ground Truth,Atomic Proposition
A SpaceWire Port shall incorporate a transmit FIFO (TX FIFO) which stores N-Chars provided by the application via the SpaceWire port interface until they can be sent across the link.,G((NChar_provided) -> ((NChar_TXFIFO) U (NChar_sent))),"[NChar_TXFIFO, NChar_provided, NChar_sent]"
A SpaceWire Port shall incorporate a receive FIFO (RX FIFO) which stores received N-Chars until they can be read by the application via the SpaceWire port interface.,G((NChar_received) -> ((NChar_TXFIFO) U (NChar_read))),"[NChar_TXFIFO, NChar_read, NChar_received]"
"Null is passed to the encoding layer by the data link layer whenever a link is not sending data or control symbols, to keep the link active and to support link disconnect detection.",G((! (sent_data & sent_control_symbol)) -> X(null_passed)),"[null_passed, sent_control_symbol, sent_data]"
"When the SpaceWire output port is reset, it shall be a controlled reset avoiding simultaneous transitions of Data and Strobe signals. For example, after stopping transmission the Strobe signal can be reset first, followed by the Data signal. This prevents a simultaneous transition on the data and strobe signals which can cause some IEEE 1355-1995 devices to enter an unrecoverable fault state",((output_port_reset) -> G (!(data_transition) & !(Strobe_signal_transition))) & G( (transmition_stopped) -> (X (reset_strobe_signal) & X X(reset_data_signal))),"[Strobe_signal_transition, data_transition, output_port_reset, reset_data_signal, reset_strobe_signal, transmition_stopped]"
gotNull shall be asserted when the first Null after the receiver is enabled is detected,G((receiver_enabled) -> (! (gotNull_assert) U (Null_detected))),"[Null_detected, gotNull_assert, receiver_enabled]"
The disconnect detection shall be enabled when the link state machine leaves the ErrorReset state and the first edge is detected on the Data or Strobe line,G( (state_machine_leaves_ErrorReset) -> (!(disconnect_detection_enable) U ((data_edge_detected) & (Strobe_ine_edge_detected))) ),"[Strobe_ine_edge_detected, data_edge_detected, disconnect_detection_enable, state_machine_leaves_ErrorReset]"
"An escape character (ESC) followed by ESC, EOP or EEP is an invalid sequence and when received shall produce an ESC error. ESC followed by FCT is a Null and ESC followed by a data character is a broadcast code",G( (((ESC_received & X ESC_received) & (ESC_received & X EOP_received)) & (ESC_received & X EEP_received )) -> (ESC_error) ) & G( (ESC_received & X FCT_received) -> Null) & G((ESC_received & X data_received) -> (broadcast_code) ),"[CT_received, EEP_received, EOP_received, ESC_error, ESC_received, Null, broadcast_code, data_received]"
The data link layer shall not send any N-Chars to the encoding layer until it has received one or more FCTs from the encoding layer to indicate that the data link layer at the other end of the link is ready to receive N-Chars,G(!(send_NChar) U (FCT_received)),"[CT_received, send_NChar]"
"Parity Error, ESC Error, gotFCT, gotN-Char and gotBC are only enabled after the first Null has been received (i.e. gotNull asserted)",G((first_Null_received) -> X((Parity_Error_enable) & (ESC_Error_enable) & (gotFCT_enable) & (gotNChar_enable) & (gotBC_enable))),"[ESC_Error_enable, Parity_Error_enable, first_Null_received, gotBC_enable, gotFCT_enable, gotNChar_enable]"
Disconnect Error is only enabled after the first transition on the data or strobe line,G(((first_data_transition) & (first_strobe_line_transition )) -> X (Disconnect_Error_enable) ),"[Disconnect_Error_enable, first_data_transition, first_strobe_line_transition]"
