Index,Requirement,Ground Truth,Response
7988,"If photo the collision on east_3rd_street ever holds, get_help must have held beforehand.",F photo_collision_east_3rd_street -> (!photo_collision_east_3rd_street U (get_help & !photo_collision_east_3rd_street)),!photo_collision_east_3rd_street | F(get_help & F(photo_collision_east_3rd_street))
7989,"Make sure that (prop_1) is equivalent to (prop_2), and also make sure (prop_3) is always true .",(prop_1 <-> prop_2) & G prop_3,G((prop_1 <-> prop_2) & prop_3)
7992,never drop apple and go_by waste bin,go_by_waste_bin & G!drop_apple,G(!(drop_apple & go_by_waste_bin))
7993,( prop_1 ) and at any time ( prop_2 ),prop_1 & F prop_2,prop_1 & G(prop_2 )
7995,at some time ( prop_1 ) and at any time ( prop_2 ),F(prop_1 & F prop_2),F(prop_1 ) & G(prop_2 )
7997,Continuously visit area 2 and take a picture each time,GF(area_2 & photo),G(area_2 -> F(photo))
8000,On condition that the transition action that ( prop_1 ) is detected then the event that ( prop_2 ) wo n't get observed or at the same moment the transition action that ( prop_3 ) should be observed .,G(prop_1 -> (prop_2 | prop_3)),G(prop_1 -> (!prop_2 | prop_3))
8002,"Globally , whenever ( prop_2 ) , or ( prop_1 ) then all of the following conditions are true : for each moment in the future before the end of the execution ( prop_3 ) .",G((prop_1 | prop_2) -> GF prop_3),G((prop_2 | prop_1) -> G(prop_3))
8003,"when whenever go_by waste basket , at any time bring pear",F go_by_waste_basket -> F bring_pear,G(go_by_waste_basket -> F bring_pear)
8005,at any time ( prop_1 ) or repeatedly ( prop_2 ),F(prop_1 | GF prop_2),G(prop_1 | prop_2)
8006,Go to kitchen_1 to pickup bottle_2 and remain in hall_2 afterward,F(kitchen_1 & F(p_bottle_2 & F(hall_2 & G hall_2))),F(kitchen_1 & p_bottle_2 & F(G hall_2))
8007,"If the condition that (prop_1) leads to (prop_3) is met, then eventually (prop_2) should happen.",(prop_1 -> prop_3) -> F prop_2,G((prop_1 -> F prop_3) -> F prop_2)
8010,"the elevator is open and, as a consequence, every time a train derails then it will happen that the bar is down",G(elevator_is_open -> G(train_derails -> F bar_is_down)),G(elevator_is_open & G(train_derails -> F bar_is_down))
8011,go through the yellow or red_room and enter the blue_room,F((red_room | yellow_room) & F blue_room),! (yellow_room | red_room) | F ((yellow_room | red_room) & F blue_room)
8012,(prop_2) or (prop_1). (prop_3) until (prop_4).,(prop_1 | prop_2) & (prop_3 U prop_4),G((prop_2 | prop_1) & (prop_3 U prop_4))
8013,"It is required that at some point ( prop_1 ) or ( prop_2 ) happens , and at the same time ( prop_3 ) does not happen .",!prop_3 & (prop_1 | prop_2),F((prop_1 | prop_2) & !prop_3)
