PROMPTTYPE,Index,Requirement,Ground Truth,Response,Equivalent
ADARULE,4057,"Whenever photo the vehicle on west_3rd_avenue holds, photo the cyclist on east_8th_avenue holds exactly three steps later.",G(photo_vehicle_west_3rd_avenue -> XXX photo_cyclist_east_8th_avenue),G(photo_vehicle_west_3rd_avenue -> X(X(X(photo_cyclist_east_8th_avenue)))),True
ADARULE,4057,"Whenever photo the vehicle on west_3rd_avenue holds, photo the cyclist on east_8th_avenue holds exactly three steps later.",G(photo_vehicle_west_3rd_avenue -> XXX photo_cyclist_east_8th_avenue),G(photo_vehicle_west_3rd_avenue -> X(X(X photo_cyclist_east_8th_avenue))),True
ADARULE,4057,"Whenever photo the vehicle on west_3rd_avenue holds, photo the cyclist on east_8th_avenue holds exactly three steps later.",G(photo_vehicle_west_3rd_avenue -> XXX photo_cyclist_east_8th_avenue),G(photo_vehicle_west_3rd_avenue -> X(X(X(photo_cyclist_east_8th_avenue)))),True
ADARULE,4057,"Whenever photo the vehicle on west_3rd_avenue holds, photo the cyclist on east_8th_avenue holds exactly three steps later.",G(photo_vehicle_west_3rd_avenue -> XXX photo_cyclist_east_8th_avenue),G(photo_vehicle_west_3rd_avenue -> X(X(X(photo_cyclist_east_8th_avenue)))),True
ADARULE,4057,"Whenever photo the vehicle on west_3rd_avenue holds, photo the cyclist on east_8th_avenue holds exactly three steps later.",G(photo_vehicle_west_3rd_avenue -> XXX photo_cyclist_east_8th_avenue),G(photo_vehicle_west_3rd_avenue -> X(X(X photo_cyclist_east_8th_avenue))),True
ADARULE,4057,"Whenever photo the vehicle on west_3rd_avenue holds, photo the cyclist on east_8th_avenue holds exactly three steps later.",G(photo_vehicle_west_3rd_avenue -> XXX photo_cyclist_east_8th_avenue),G(photo_vehicle_west_3rd_avenue -> X(X(X photo_cyclist_east_8th_avenue))),True
ADARULE,4057,"Whenever photo the vehicle on west_3rd_avenue holds, photo the cyclist on east_8th_avenue holds exactly three steps later.",G(photo_vehicle_west_3rd_avenue -> XXX photo_cyclist_east_8th_avenue),G(photo_vehicle_west_3rd_avenue -> X(X(X(photo_cyclist_east_8th_avenue)))),True
ADARULE,4057,"Whenever photo the vehicle on west_3rd_avenue holds, photo the cyclist on east_8th_avenue holds exactly three steps later.",G(photo_vehicle_west_3rd_avenue -> XXX photo_cyclist_east_8th_avenue),G(photo_vehicle_west_3rd_avenue -> X(X(X(photo_cyclist_east_8th_avenue)))),True
ADARULE,4057,"Whenever photo the vehicle on west_3rd_avenue holds, photo the cyclist on east_8th_avenue holds exactly three steps later.",G(photo_vehicle_west_3rd_avenue -> XXX photo_cyclist_east_8th_avenue),G(photo_vehicle_west_3rd_avenue -> X(X(X(photo_cyclist_east_8th_avenue)))),True
ADARULE,4057,"Whenever photo the vehicle on west_3rd_avenue holds, photo the cyclist on east_8th_avenue holds exactly three steps later.",G(photo_vehicle_west_3rd_avenue -> XXX photo_cyclist_east_8th_avenue),G(photo_vehicle_west_3rd_avenue -> X(X(X(photo_cyclist_east_8th_avenue)))),True
ADARULE,4060,Continuously visit area 2 and take a picture each time,GF(area_2 & photo),G(area_2 -> F(photo)),False
ADARULE,4060,Continuously visit area 2 and take a picture each time,GF(area_2 & photo),G(area_2 -> F(photo)),False
ADARULE,4060,Continuously visit area 2 and take a picture each time,GF(area_2 & photo),G(area_2 -> F(photo)),False
ADARULE,4060,Continuously visit area 2 and take a picture each time,GF(area_2 & photo),G(area_2 -> F(photo & F(area_2))),False
ADARULE,4060,Continuously visit area 2 and take a picture each time,GF(area_2 & photo),G(area_2 -> F(photo)),False
ADARULE,4060,Continuously visit area 2 and take a picture each time,GF(area_2 & photo),G(area_2 -> F(photo)),False
ADARULE,4060,Continuously visit area 2 and take a picture each time,GF(area_2 & photo),G(area_2 -> F(photo)),False
ADARULE,4060,Continuously visit area 2 and take a picture each time,GF(area_2 & photo),G(area_2 -> F(photo)),False
ADARULE,4060,Continuously visit area 2 and take a picture each time,GF(area_2 & photo),G(area_2 -> F(photo)),False
ADARULE,4060,Continuously visit area 2 and take a picture each time,GF(area_2 & photo),G(area_2 -> F(photo)),False
ADARULE,4061,"finally, the bridge closes, the semaphore is red and a motorbike catches fire",F(bridge_closes & motorbike_catches_fire & semaphore_is_red),F(bridge_closes & semaphore_is_red & motorbike_catches_fire),True
ADARULE,4061,"finally, the bridge closes, the semaphore is red and a motorbike catches fire",F(bridge_closes & motorbike_catches_fire & semaphore_is_red),F(bridge_closes & semaphore_is_red & motorbike_catches_fire),True
ADARULE,4061,"finally, the bridge closes, the semaphore is red and a motorbike catches fire",F(bridge_closes & motorbike_catches_fire & semaphore_is_red),F(bridge_closes & semaphore_is_red & motorbike_catches_fire),True
ADARULE,4061,"finally, the bridge closes, the semaphore is red and a motorbike catches fire",F(bridge_closes & motorbike_catches_fire & semaphore_is_red),F(bridge_closes & semaphore_is_red & motorbike_catches_fire),True
ADARULE,4061,"finally, the bridge closes, the semaphore is red and a motorbike catches fire",F(bridge_closes & motorbike_catches_fire & semaphore_is_red),F(bridge_closes & semaphore_is_red & motorbike_catches_fire),True
ADARULE,4061,"finally, the bridge closes, the semaphore is red and a motorbike catches fire",F(bridge_closes & motorbike_catches_fire & semaphore_is_red),F (bridge_closes & semaphore_is_red & motorbike_catches_fire),True
ADARULE,4061,"finally, the bridge closes, the semaphore is red and a motorbike catches fire",F(bridge_closes & motorbike_catches_fire & semaphore_is_red),F (bridge_closes & semaphore_is_red & motorbike_catches_fire),True
ADARULE,4061,"finally, the bridge closes, the semaphore is red and a motorbike catches fire",F(bridge_closes & motorbike_catches_fire & semaphore_is_red),F(bridge_closes & semaphore_is_red & motorbike_catches_fire),True
ADARULE,4061,"finally, the bridge closes, the semaphore is red and a motorbike catches fire",F(bridge_closes & motorbike_catches_fire & semaphore_is_red),F(bridge_closes & semaphore_is_red & motorbike_catches_fire),True
ADARULE,4061,"finally, the bridge closes, the semaphore is red and a motorbike catches fire",F(bridge_closes & motorbike_catches_fire & semaphore_is_red),F(bridge_closes & semaphore_is_red & motorbike_catches_fire),True
ADARULE,4062,Request assistance holds at all times.,G get_help,G(get_help ),True
ADARULE,4062,Request assistance holds at all times.,G get_help,G(get_help ),True
ADARULE,4062,Request assistance holds at all times.,G get_help,G(get_help ),True
ADARULE,4062,Request assistance holds at all times.,G get_help,G(get_help ),True
ADARULE,4062,Request assistance holds at all times.,G get_help,G(get_help ),True
ADARULE,4062,Request assistance holds at all times.,G get_help,G (get_help ),True
ADARULE,4062,Request assistance holds at all times.,G get_help,G(get_help ),True
ADARULE,4062,Request assistance holds at all times.,G get_help,G(get_help ),True
ADARULE,4062,Request assistance holds at all times.,G get_help,G(get_help ),True
ADARULE,4062,Request assistance holds at all times.,G get_help,G (get_help ),True
ADARULE,4063,"when whenever go_by waste basket , at any time bring pear",F go_by_waste_basket -> F bring_pear,G(go_by_waste_basket -> F bring_pear),False
ADARULE,4063,"when whenever go_by waste basket , at any time bring pear",F go_by_waste_basket -> F bring_pear,G(go_by_waste_basket -> F bring_pear),False
ADARULE,4063,"when whenever go_by waste basket , at any time bring pear",F go_by_waste_basket -> F bring_pear,G(go_by_waste_basket -> F bring_pear),False
ADARULE,4063,"when whenever go_by waste basket , at any time bring pear",F go_by_waste_basket -> F bring_pear,G(go_by_waste_basket -> F(bring_pear)),False
ADARULE,4063,"when whenever go_by waste basket , at any time bring pear",F go_by_waste_basket -> F bring_pear,G(go_by_waste_basket -> F bring_pear ),False
ADARULE,4063,"when whenever go_by waste basket , at any time bring pear",F go_by_waste_basket -> F bring_pear,G(go_by_waste_basket -> F(bring_pear)),False
ADARULE,4063,"when whenever go_by waste basket , at any time bring pear",F go_by_waste_basket -> F bring_pear,G(go_by_waste_basket -> F bring_pear),False
ADARULE,4063,"when whenever go_by waste basket , at any time bring pear",F go_by_waste_basket -> F bring_pear,G(go_by_waste_basket -> F bring_pear ),False
ADARULE,4063,"when whenever go_by waste basket , at any time bring pear",F go_by_waste_basket -> F bring_pear,G(go_by_waste_basket -> F(bring_pear)),False
ADARULE,4063,"when whenever go_by waste basket , at any time bring pear",F go_by_waste_basket -> F bring_pear,G(go_by_waste_basket -> F bring_pear ),False
ADARULE,4065,Go to kitchen_1 to pickup bottle_2 and remain in hall_2 afterward,F(kitchen_1 & F(p_bottle_2 & F(hall_2 & G hall_2))),F(kitchen_1 & p_bottle_2 & F(G hall_2)),False
ADARULE,4065,Go to kitchen_1 to pickup bottle_2 and remain in hall_2 afterward,F(kitchen_1 & F(p_bottle_2 & F(hall_2 & G hall_2))),F(kitchen_1 & p_bottle_2 & F(G hall_2)),False
ADARULE,4065,Go to kitchen_1 to pickup bottle_2 and remain in hall_2 afterward,F(kitchen_1 & F(p_bottle_2 & F(hall_2 & G hall_2))),F((kitchen_1 & p_bottle_2) & F(G hall_2)),False
ADARULE,4065,Go to kitchen_1 to pickup bottle_2 and remain in hall_2 afterward,F(kitchen_1 & F(p_bottle_2 & F(hall_2 & G hall_2))),F((kitchen_1 & p_bottle_2) & F G hall_2),False
ADARULE,4065,Go to kitchen_1 to pickup bottle_2 and remain in hall_2 afterward,F(kitchen_1 & F(p_bottle_2 & F(hall_2 & G hall_2))),F(kitchen_1 & p_bottle_2 & F(G hall_2)),False
ADARULE,4065,Go to kitchen_1 to pickup bottle_2 and remain in hall_2 afterward,F(kitchen_1 & F(p_bottle_2 & F(hall_2 & G hall_2))),F(kitchen_1 & p_bottle_2 & F(G hall_2)),False
ADARULE,4065,Go to kitchen_1 to pickup bottle_2 and remain in hall_2 afterward,F(kitchen_1 & F(p_bottle_2 & F(hall_2 & G hall_2))),F(kitchen_1 & p_bottle_2 & F(G hall_2)),False
ADARULE,4065,Go to kitchen_1 to pickup bottle_2 and remain in hall_2 afterward,F(kitchen_1 & F(p_bottle_2 & F(hall_2 & G hall_2))),F(kitchen_1 & p_bottle_2 & F(G hall_2)),False
ADARULE,4065,Go to kitchen_1 to pickup bottle_2 and remain in hall_2 afterward,F(kitchen_1 & F(p_bottle_2 & F(hall_2 & G hall_2))),F(kitchen_1 & p_bottle_2 & F(G hall_2)),False
ADARULE,4065,Go to kitchen_1 to pickup bottle_2 and remain in hall_2 afterward,F(kitchen_1 & F(p_bottle_2 & F(hall_2 & G hall_2))),F(kitchen_1 & p_bottle_2 & F(G hall_2)),False
ADARULE,4067,"the elevator is open and, as a consequence, every time a train derails then it will happen that the bar is down",G(elevator_is_open -> G(train_derails -> F bar_is_down)),elevator_is_open & G(train_derails -> F(bar_is_down)),False
