PROMPTTYPE,Index,Requirement,Ground Truth,Response,Equivalent
ARTEMIS,3055,Eventually (photo of landmark_9 and stay at landmark_9 permanently),F(landmark_9 & photo & G landmark_9),F(photo & landmark_9 & G(landmark_9)),True
ARTEMIS,3055,Eventually (photo of landmark_9 and stay at landmark_9 permanently),F(landmark_9 & photo & G landmark_9),F(photo & landmark_9 & G(landmark_9)),True
ARTEMIS,3055,Eventually (photo of landmark_9 and stay at landmark_9 permanently),F(landmark_9 & photo & G landmark_9),F(photo & landmark_9 & G(photo & landmark_9)),False
ARTEMIS,3055,Eventually (photo of landmark_9 and stay at landmark_9 permanently),F(landmark_9 & photo & G landmark_9),F(photo & landmark_9 & G(photo & landmark_9)),False
ARTEMIS,3055,Eventually (photo of landmark_9 and stay at landmark_9 permanently),F(landmark_9 & photo & G landmark_9),F(photo & landmark_9 & G(photo & landmark_9)),False
ARTEMIS,3055,Eventually (photo of landmark_9 and stay at landmark_9 permanently),F(landmark_9 & photo & G landmark_9),F(photo & landmark_9 & G(photo & landmark_9)),False
ARTEMIS,3055,Eventually (photo of landmark_9 and stay at landmark_9 permanently),F(landmark_9 & photo & G landmark_9),F(photo & landmark_9 & G(landmark_9)),True
ARTEMIS,3055,Eventually (photo of landmark_9 and stay at landmark_9 permanently),F(landmark_9 & photo & G landmark_9),F(photo & landmark_9 & G(landmark_9)),True
ARTEMIS,3055,Eventually (photo of landmark_9 and stay at landmark_9 permanently),F(landmark_9 & photo & G landmark_9),F(photo & landmark_9 & G(landmark_9)),True
ARTEMIS,3055,Eventually (photo of landmark_9 and stay at landmark_9 permanently),F(landmark_9 & photo & G landmark_9),F(photo & landmark_9 & G(photo & landmark_9)),False
ARTEMIS,3231,"Go to kitchen 2 to grab bottle 3, staying away from living room 1",F(kitchen_2 & p_bottle_3) & G!living_room_1,(!living_room_1) U (kitchen_2 & p_bottle_3),False
ARTEMIS,3231,"Go to kitchen 2 to grab bottle 3, staying away from living room 1",F(kitchen_2 & p_bottle_3) & G!living_room_1,(!living_room_1) U (kitchen_2 & p_bottle_3),False
ARTEMIS,3231,"Go to kitchen 2 to grab bottle 3, staying away from living room 1",F(kitchen_2 & p_bottle_3) & G!living_room_1,(!living_room_1) U (kitchen_2 & p_bottle_3),False
ARTEMIS,3231,"Go to kitchen 2 to grab bottle 3, staying away from living room 1",F(kitchen_2 & p_bottle_3) & G!living_room_1,(!living_room_1) U (kitchen_2 & p_bottle_3),False
ARTEMIS,3231,"Go to kitchen 2 to grab bottle 3, staying away from living room 1",F(kitchen_2 & p_bottle_3) & G!living_room_1,(!living_room_1) U (kitchen_2 & p_bottle_3),False
ARTEMIS,3231,"Go to kitchen 2 to grab bottle 3, staying away from living room 1",F(kitchen_2 & p_bottle_3) & G!living_room_1,(!living_room_1) U (kitchen_2 & p_bottle_3),False
ARTEMIS,3231,"Go to kitchen 2 to grab bottle 3, staying away from living room 1",F(kitchen_2 & p_bottle_3) & G!living_room_1,(!living_room_1) U (kitchen_2 & p_bottle_3),False
ARTEMIS,3231,"Go to kitchen 2 to grab bottle 3, staying away from living room 1",F(kitchen_2 & p_bottle_3) & G!living_room_1,(!living_room_1) U (kitchen_2 & p_bottle_3),False
ARTEMIS,3231,"Go to kitchen 2 to grab bottle 3, staying away from living room 1",F(kitchen_2 & p_bottle_3) & G!living_room_1,F(kitchen_2 & p_bottle_3) & G(!living_room_1),True
ARTEMIS,3231,"Go to kitchen 2 to grab bottle 3, staying away from living room 1",F(kitchen_2 & p_bottle_3) & G!living_room_1,(!living_room_1) U (kitchen_2 & p_bottle_3),False
ARTEMIS,3391,if the escalator moves and the bar is closing then all the time a manager handles requests or a table is old,G((bar_is_closing & escalator_moves) -> G(manager_handles_requests | table_is_old)),(escalator_moves & bar_is_closing) -> G(manager_handles_requests | table_is_old),False
ARTEMIS,3391,if the escalator moves and the bar is closing then all the time a manager handles requests or a table is old,G((bar_is_closing & escalator_moves) -> G(manager_handles_requests | table_is_old)),G((escalator_moves & bar_is_closing) -> G(manager_handles_requests | table_is_old)),True
ARTEMIS,3391,if the escalator moves and the bar is closing then all the time a manager handles requests or a table is old,G((bar_is_closing & escalator_moves) -> G(manager_handles_requests | table_is_old)),G((escalator_moves & bar_is_closing) -> G(manager_handles_requests | table_is_old)),True
ARTEMIS,3391,if the escalator moves and the bar is closing then all the time a manager handles requests or a table is old,G((bar_is_closing & escalator_moves) -> G(manager_handles_requests | table_is_old)),G((escalator_moves & bar_is_closing) -> G(manager_handles_requests | table_is_old)),True
ARTEMIS,3391,if the escalator moves and the bar is closing then all the time a manager handles requests or a table is old,G((bar_is_closing & escalator_moves) -> G(manager_handles_requests | table_is_old)),(escalator_moves & bar_is_closing) -> G(manager_handles_requests | table_is_old),False
ARTEMIS,3391,if the escalator moves and the bar is closing then all the time a manager handles requests or a table is old,G((bar_is_closing & escalator_moves) -> G(manager_handles_requests | table_is_old)),(escalator_moves & bar_is_closing) -> G(manager_handles_requests | table_is_old),False
ARTEMIS,3391,if the escalator moves and the bar is closing then all the time a manager handles requests or a table is old,G((bar_is_closing & escalator_moves) -> G(manager_handles_requests | table_is_old)),(escalator_moves & bar_is_closing) -> G(manager_handles_requests | table_is_old),False
