Index,Requirement,Ground Truth,Response,Equivalent
5914,"If photo injured_person ever holds, avoid the impending_gas_leak must have held beforehand.",F photo_injured_person -> (!photo_injured_person U (avoid_impending_gas_leak & !photo_injured_person)),G(photo_injured_person -> (F avoid_impending_gas_leak V photo_injured_person)),False
5915,"For all time (prop_1) is true, and (prop_3) is equivalent to (prop_2) .",(prop_2 <-> prop_3) & G prop_1,G(prop_1 & (prop_3 <-> prop_2)),False
5916,"Whenever get_help holds, idle holds exactly three steps later.",G(get_help -> XXX idle),G(get_help -> X X X idle),True
5917,( prop_1 ) or when possible ( prop_2 ),prop_1 | F prop_2,prop_1 | GF prop_2,False
5918,never drop pear and put_in bin,put_in_bin & G!drop_pear,G(!(drop_pear & put_in_bin)),False
5919,( prop_1 ) and when possible ( prop_2 ),prop_1 & F prop_2,G(prop_1) & GF(prop_2),False
5920,Start by obtaining box 2 from office 4 and make sure it is delivered to house 1 afterward,F(office_4 & F(p_box_2 & F(house_1 & pd))),F(pd & office_4 & p_box_2) & F(F(pd & office_4 & p_box_2) -> F(pd & house_1 & p_box_2)),False
5921,at some time ( prop_1 ) and at some time ( prop_2 ),F(prop_1 & F prop_2),F prop_1 & F prop_2,False
5922,( prop_1 ) and repeatedly ( prop_2 ),prop_1 & GF prop_2,prop_1 & GF prop_2,True
5923,Continuously take pictures of landmark 21 at regular intervals,GF(landmark_21 & photo),G(photo & landmark_21),False
5924,"sooner or later a sensor captures data, a table has been moved and the bridge closes",F(bridge_closes & sensor_captures_data & table_has_been_moved),F(sensor_captures_data & table_has_been_moved & bridge_closes),True
5925,Pick up the donut holds at all times.,G pickup_donut,G pickup_donut,True
5926,"Globally , everytime when ( prop_1 ) then in response ( prop_2 ) or at the same time ( prop_3 ) .",G(prop_1 -> (prop_2 | prop_3)),G(prop_1 -> (F prop_2 | prop_3)),False
5927,( prop_1 ) or at some time ( prop_2 ),prop_1 | F prop_2,prop_1 | F prop_2,True
5928,"While ( prop_1 ) or ( prop_2 ) then all of the following conditions hold : for each moment in the future until the execution ends , there needs to exist a time in the future before the execution ends , at which the event that ( prop_3 ) will have to get detected .",G((prop_1 | prop_2) -> GF prop_3),G((prop_1 | prop_2) -> G(F prop_3)),True
5929,when possible ( prop_1 ) until repeatedly ( prop_2 ),F(prop_1 U GF prop_2),GF(prop_1 U GF prop_2),True
5930,"as a house is built or a sensor captures data, it will happen that a manager handles requests and a table is brown",G((house_is_built | sensor_captures_data) -> F(manager_handles_requests & table_is_brown)),(house_is_built | sensor_captures_data) -> F(manager_handles_requests & table_is_brown),False
5931,whenever ( prop_1 ) or repeatedly ( prop_2 ),F(prop_1 | GF prop_2),G(prop_1 | GF prop_2),False
5932,Pick up stack_4 from house_4 and at street_2 and stay there,F(house_4 & F(p_stack_4 & F(street_2 & G street_2))),F(p_stack_4 & house_4 & F(street_2 & G street_2)),False
5933,"If (prop_3) implies (prop_1), then you should make (prop_2) happen .",(prop_3 -> prop_1) -> F prop_2,(prop_3 -> prop_1) -> F prop_2,True
5934,"always when both the engine stops and a manager collect claims then finally, the sensor captures data",G((engine_stops & manager_collect_claims) -> F sensor_captures_data),G((engine_stops & manager_collect_claims) -> F sensor_captures_data),True
5935,"In case that the transition action that ( prop_1 ) occurs , then in response simultaneously ( prop_2 ) .",G(prop_1 -> prop_2),G(prop_1 -> prop_2),True
5936,"when a motorbike has stopped then after the constructor instantiate objects, sooner or later the engine starts afterwards",G(motorbike_has_stopped -> G(constructor_instantiate_objects -> F engine_starts)),G(motorbike_has_stopped -> G(constructor_instantiate_objects -> F engine_starts)),True
5937,avoid the yellow_room and enter the green_room through either the red or yellow_room,F((red_room | yellow_room) & F green_room),G(!yellow_room) & F((red_room | yellow_room) & X(green_room)),False
5938,(prop_1) or (prop_3). (prop_2) until (prop_4).,(prop_1 | prop_3) & (prop_2 U prop_4),(prop_1 | prop_3) & (prop_2 U prop_4),True
5939,"(prop_3) doesn't happen, and either (prop_2) or (prop_1) happens .",!prop_3 & (prop_1 | prop_2),(!prop_3) & (prop_2 | prop_1),True
5940,"If ( prop_3 ) then ( prop_4 ) , is equivalent to ( prop_1 ) , and also ( prop_2 ) .",prop_2 & (prop_1 <-> (prop_3 -> prop_4)),((prop_3 -> prop_4) <-> prop_1) & prop_2,True
5941,"if ( prop_1 ) , whenever ( prop_2 )",prop_1 -> F prop_2,G(prop_1 -> G(prop_2 -> prop_2)),False
5943,"(prop_1) is always true and (prop_2) is true at some point, or (prop_3) should not be true .",!prop_3 | (prop_2 & G prop_1),(G prop_1 & F prop_2) | !prop_3,False
5944,always ( prop_1 ) and at any time ( prop_2 ),G(prop_1 & F prop_2),G(prop_1) & GF(prop_2),True
5945,Eventually (photo of landmark_9 and stay at landmark_9 permanently),F(landmark_9 & photo & G landmark_9),F(photo & landmark_9 & G(landmark_9)),True
5946,walk through any room except the green_room to enter the red_room,F red_room & G!green_room,(!green_room) U red_room,False
5948,"Either deliver_aid the injured_hostile happens infinitely often, or communicate the safe_hostile happens in the next step.",GF deliver_aid_injured_hostile | X communicate_safe_hostile,GF(deliver_aid_injured_hostile) | X(communicate_safe_hostile),True
5949,"Once record the jaywalker on northwest_5th_street has occurred, photo the cyclist on north_8th_street will never occur again.",G(record_jaywalker_northwest_5th_street -> XG!photo_cyclist_north_8th_street),G(record_jaywalker_northwest_5th_street -> G(!photo_cyclist_north_8th_street)),False
5950,"If ( prop_1 ) is not true then ( prop_3 ) , and ( prop_2 ) .",prop_2 & (!prop_1 -> prop_3),(!prop_1 -> prop_3) & prop_2,True
5951,never drop apple and stop_by flag,stop_by_flag & G!drop_apple,G(!drop_apple & stop_by_flag),False
5952,at any time a motorbike is driven,G motorbike_is_driven,G(motorbike_is_driven),True
5953,when possible ( prop_1 ) until ( prop_2 ),F(prop_1 U prop_2),prop_1 U prop_2,False
5954,when possible ( prop_1 ) or repeatedly ( prop_2 ),F(prop_1 | GF prop_2),GF(prop_1 | prop_2),False
5955,at any time ( prop_1 ) means that ( prop_2 ),F prop_1 -> prop_2,G(prop_1 -> prop_2),False
5956,Ensure you do not go to park 6 before retrieving pass 4,!park_6 U p_pass_4,(!park_6 U p_pass_4),True
5957,come_to tree until grip apple,come_to_tree U grip_apple,come_to_tree U grip_apple,True
5958,never let_go orange and hold_on_to pear,hold_on_to_pear & G!let_go_orange,G(!let_go_orange & hold_on_to_pear),False
5960,"Either pickup the broccoli happens infinitely often, or search the cat happens in the next step.",GF pickup_broccoli | X search_cat,GF(pickup_broccoli) | X(search_cat),True
5961,"In the case ( prop_1 ) , or ( prop_3 ) then at a certain time point in the future before the execution ends , ( prop_2 ) .",G((prop_1 | prop_3) -> F prop_2),(prop_1 | prop_3) -> F prop_2,False
5962,"For all time (prop_3) is true, is equivalent to the scenario in which either not (prop_2) or (prop_1) happens .",(prop_1 | !prop_2) <-> G prop_3,G(prop_3) <-> ( !prop_2 | prop_1 ),True
5963,"a house is built involves that after a table is brown, eventually, a car starts",G(house_is_built -> G(table_is_brown -> F car_starts)),house_is_built -> G(table_is_brown -> F car_starts),False
5964,Do not enter intersection_4 before reaching street_5,!intersection_4 U street_5,(!intersection_4) U street_5,True
5965,if a table is brown or the elevator rises then it is going to happen that a car enters or the bar is up,G((elevator_rises | table_is_brown) -> F(bar_is_up | car_enters)),(table_is_brown | elevator_rises) -> F (car_enters | bar_is_up),False
5966,"It is not the case that ( prop_2 ) is equivalent to ( prop_1 ) , or else ( prop_3 ) .",prop_3 | !(prop_1 <-> prop_2),!(prop_2 <-> prop_1) | prop_3,True
5967,"If (prop_2) is equivalent to (prop_1), then make sure (prop_3) is always true .",(prop_1 <-> prop_2) -> G prop_3,(prop_1 <-> prop_2) -> G prop_3,True
5968,"Do not at store_4 until you reach street_6, while ensuring you transport package_8 from office_2 to store_4",(!store_4 U street_6) & F(office_2 & F(p_package_8 & F(pd & store_4))),(!store_4 U street_6) & (F(office_2 & p_package_8) & F(store_4 & p_package_8)),False
5969,repeatedly grab tree or at some time go_to transh can,GF grab_tree | F go_to_transh_can,GF(grab_tree) | F(go_to_transh_can),True
5970,"First (prop_3) unless (prop_1) happens, then make sure to (prop_2) after you have witnessed (prop_4).",(prop_3 U prop_1) -> (prop_2 -> prop_4),(prop_3 U prop_1) & (F prop_1 -> F (prop_4 U prop_2)),False
5971,"The scenario that ( prop_2 ) is not detected or ( prop_3 ) is detected , the above state will keep happening until ( prop_1 ) happens .",(!prop_2 | prop_3) U prop_1,((!prop_2 | prop_3) U prop_1),True
5972,"Whenever get_help holds, from the next step onwards record the collision on north_3rd_avenue will eventually hold.",G(get_help -> XF record_collision_north_3rd_avenue),G(get_help -> X F record_collision_north_3rd_avenue),True
5973,at some time get pear until take pear,F get_pear U take_pear,F(get_pear U take_pear),False
5974,"When photo the car on northwest_9th_avenue happens, change light_north green must hold now or in the next step.",G(photo_car_northwest_9th_avenue -> (change_light_north_green | X change_light_north_green)),G(photo_car_northwest_9th_avenue -> (change_light_north_green | X change_light_north_green)),True
5975,whenever visit trash bin or never drop orange,F visit_trash_bin | G!drop_orange,G(visit_trash_bin | G(!drop_orange)),False
5976,"If (prop_2), (prop_1) and (prop_3).",prop_2 -> (prop_1 & prop_3),G(prop_2 -> (prop_1 & prop_3)),False
5977,Please (prop_1),F prop_1,prop_1,False
5979,"If idle holds and search the elephant holds next, then deliver the apple to the loading_dock holds in the step after that.",G((idle & X search_elephant) -> XX deliver_apple_loading_dock),G((idle & X search_elephant) -> XX deliver_apple_loading_dock),True
5980,always ( prop_1 ) until ( prop_2 ),G(prop_1 U prop_2),G(prop_1) U prop_2,False
5981,sooner or later the motorbike has started or the train is crossing or an elevator falls,F(elevator_falls | motorbike_has_started | train_is_crossing),F(motorbike_has_started | train_is_crossing | elevator_falls),True
5982,Do not enter locality 5 until you pick up pass 5 from house 2 and put it in office 3,!locality_5 U (house_2 & F(p_pass_5 & F(office_3 & pd))),(!locality_5) U (p_pass_5 & F(office_3)),False
5983,"For each time instant in the future either if ( prop_2 ) then ( prop_3 ) happens , or else ( prop_1 ) .",prop_1 | G(prop_2 -> prop_3),G((prop_2 -> prop_3) | prop_1),False
