PROMPTTYPE,Index,Requirement,Ground Truth,Response,Equivalent
ADARULE,5,Exceeding sensor limits shall latch an autopilot pullup when the pilot is not in control (not standby) and the system is supported without failures (not apfail).,!limits U (limits & G(!standby & supported & !apfail -> (pullup))),G((limits & !standby & supported & !apfail) -> F(pullup)),False
ADARULE,5,Exceeding sensor limits shall latch an autopilot pullup when the pilot is not in control (not standby) and the system is supported without failures (not apfail).,!limits U (limits & G(!standby & supported & !apfail -> (pullup))),G((limits & !standby & supported & !apfail) -> F(pullup)),False
ADARULE,5,Exceeding sensor limits shall latch an autopilot pullup when the pilot is not in control (not standby) and the system is supported without failures (not apfail).,!limits U (limits & G(!standby & supported & !apfail -> (pullup))),G((limits & !standby & supported & !apfail) -> F(pullup)),False
ADARULE,5,Exceeding sensor limits shall latch an autopilot pullup when the pilot is not in control (not standby) and the system is supported without failures (not apfail).,!limits U (limits & G(!standby & supported & !apfail -> (pullup))),G((limits & !standby & supported & !apfail) -> F(pullup)),False
ADARULE,5,Exceeding sensor limits shall latch an autopilot pullup when the pilot is not in control (not standby) and the system is supported without failures (not apfail).,!limits U (limits & G(!standby & supported & !apfail -> (pullup))),G((limits & !standby & supported & !apfail) -> F(pullup)),False
ADARULE,5,Exceeding sensor limits shall latch an autopilot pullup when the pilot is not in control (not standby) and the system is supported without failures (not apfail).,!limits U (limits & G(!standby & supported & !apfail -> (pullup))),G((limits & !standby & supported & !apfail) -> F(pullup)),False
ADARULE,5,Exceeding sensor limits shall latch an autopilot pullup when the pilot is not in control (not standby) and the system is supported without failures (not apfail).,!limits U (limits & G(!standby & supported & !apfail -> (pullup))),G((limits & !standby & supported & !apfail) -> F(pullup)),False
ADARULE,5,Exceeding sensor limits shall latch an autopilot pullup when the pilot is not in control (not standby) and the system is supported without failures (not apfail).,!limits U (limits & G(!standby & supported & !apfail -> (pullup))),G((limits & !standby & supported & !apfail) -> F(pullup)),False
ADARULE,5,Exceeding sensor limits shall latch an autopilot pullup when the pilot is not in control (not standby) and the system is supported without failures (not apfail).,!limits U (limits & G(!standby & supported & !apfail -> (pullup))),G((limits & !standby & supported & !apfail) -> F(pullup)),False
ADARULE,5,Exceeding sensor limits shall latch an autopilot pullup when the pilot is not in control (not standby) and the system is supported without failures (not apfail).,!limits U (limits & G(!standby & supported & !apfail -> (pullup))),G((limits & !standby & supported & !apfail) -> F(pullup)),False
ADARULE,5,Exceeding sensor limits shall latch an autopilot pullup when the pilot is not in control (not standby) and the system is supported without failures (not apfail).,!limits U (limits & G(!standby & supported & !apfail -> (pullup))),G((limits & !standby & supported & !apfail) -> F(pullup)),False
ADARULE,5,Exceeding sensor limits shall latch an autopilot pullup when the pilot is not in control (not standby) and the system is supported without failures (not apfail).,!limits U (limits & G(!standby & supported & !apfail -> (pullup))),G((limits & !standby & supported & !apfail) -> F(pullup)),False
ADARULE,5,Exceeding sensor limits shall latch an autopilot pullup when the pilot is not in control (not standby) and the system is supported without failures (not apfail).,!limits U (limits & G(!standby & supported & !apfail -> (pullup))),G((limits & !standby & supported & !apfail) -> F(pullup)),False
ADARULE,5,Exceeding sensor limits shall latch an autopilot pullup when the pilot is not in control (not standby) and the system is supported without failures (not apfail).,!limits U (limits & G(!standby & supported & !apfail -> (pullup))),G((limits & !standby & supported & !apfail) -> F(pullup)),False
ADARULE,5,Exceeding sensor limits shall latch an autopilot pullup when the pilot is not in control (not standby) and the system is supported without failures (not apfail).,!limits U (limits & G(!standby & supported & !apfail -> (pullup))),G((limits & !standby & supported & !apfail) -> F(pullup)),False
ADARULE,5,Exceeding sensor limits shall latch an autopilot pullup when the pilot is not in control (not standby) and the system is supported without failures (not apfail).,!limits U (limits & G(!standby & supported & !apfail -> (pullup))),G((limits & !standby & supported & !apfail) -> F(pullup)),False
ADARULE,5,Exceeding sensor limits shall latch an autopilot pullup when the pilot is not in control (not standby) and the system is supported without failures (not apfail).,!limits U (limits & G(!standby & supported & !apfail -> (pullup))),G((limits & !standby & supported & !apfail) -> F(pullup)),False
ADARULE,5,Exceeding sensor limits shall latch an autopilot pullup when the pilot is not in control (not standby) and the system is supported without failures (not apfail).,!limits U (limits & G(!standby & supported & !apfail -> (pullup))),G((limits & !standby & supported & !apfail) -> F(pullup)),False
ADARULE,5,Exceeding sensor limits shall latch an autopilot pullup when the pilot is not in control (not standby) and the system is supported without failures (not apfail).,!limits U (limits & G(!standby & supported & !apfail -> (pullup))),G((limits & !standby & supported & !apfail) -> F(pullup)),False
ADARULE,5,Exceeding sensor limits shall latch an autopilot pullup when the pilot is not in control (not standby) and the system is supported without failures (not apfail).,!limits U (limits & G(!standby & supported & !apfail -> (pullup))),G((limits & !standby & supported & !apfail) -> F(pullup)),False
ADARULE,5,Exceeding sensor limits shall latch an autopilot pullup when the pilot is not in control (not standby) and the system is supported without failures (not apfail).,!limits U (limits & G(!standby & supported & !apfail -> (pullup))),G((limits & !standby & supported & !apfail) -> F(pullup)),False
ADARULE,5,Exceeding sensor limits shall latch an autopilot pullup when the pilot is not in control (not standby) and the system is supported without failures (not apfail).,!limits U (limits & G(!standby & supported & !apfail -> (pullup))),G((limits & !standby & supported & !apfail) -> F(pullup)),False
ADARULE,5,Exceeding sensor limits shall latch an autopilot pullup when the pilot is not in control (not standby) and the system is supported without failures (not apfail).,!limits U (limits & G(!standby & supported & !apfail -> (pullup))),G((limits & !standby & supported & !apfail) -> F(pullup)),False
ADARULE,5,Exceeding sensor limits shall latch an autopilot pullup when the pilot is not in control (not standby) and the system is supported without failures (not apfail).,!limits U (limits & G(!standby & supported & !apfail -> (pullup))),G((limits & !standby & supported & !apfail) -> F(pullup)),False
ADARULE,5,Exceeding sensor limits shall latch an autopilot pullup when the pilot is not in control (not standby) and the system is supported without failures (not apfail).,!limits U (limits & G(!standby & supported & !apfail -> (pullup))),G((limits & !standby & !apfail) -> F(pullup)),False
ADARULE,5,Exceeding sensor limits shall latch an autopilot pullup when the pilot is not in control (not standby) and the system is supported without failures (not apfail).,!limits U (limits & G(!standby & supported & !apfail -> (pullup))),G((limits & !standby & supported & !apfail) -> F(pullup)),False
ADARULE,5,Exceeding sensor limits shall latch an autopilot pullup when the pilot is not in control (not standby) and the system is supported without failures (not apfail).,!limits U (limits & G(!standby & supported & !apfail -> (pullup))),G((limits & !standby & supported & !apfail) -> F(pullup)),False
