Index,Requirement,Ground Truth,Response,Equivalent
7891,"If photo the collision on east_3rd_street ever holds, get_help must have held beforehand.",F photo_collision_east_3rd_street -> (!photo_collision_east_3rd_street U (get_help & !photo_collision_east_3rd_street)),!photo_collision_east_3rd_street | F(get_help & F(photo_collision_east_3rd_street)),False
7892,"Make sure that (prop_1) is equivalent to (prop_2), and also make sure (prop_3) is always true .",(prop_1 <-> prop_2) & G prop_3,G((prop_1 <-> prop_2) & prop_3),False
7893,"Whenever photo the vehicle on west_3rd_avenue holds, photo the cyclist on east_8th_avenue holds exactly three steps later.",G(photo_vehicle_west_3rd_avenue -> XXX photo_cyclist_east_8th_avenue),G(photo_vehicle_west_3rd_avenue -> X(X(X(photo_cyclist_east_8th_avenue)))),True
7894,( prop_1 ) or at some time ( prop_2 ),prop_1 | F prop_2,prop_1 | F prop_2,True
7895,never drop apple and go_by waste bin,go_by_waste_bin & G!drop_apple,G(!(drop_apple & go_by_waste_bin)),False
7896,( prop_1 ) and at any time ( prop_2 ),prop_1 & F prop_2,prop_1 & G(prop_2 ),False
7898,at some time ( prop_1 ) and at any time ( prop_2 ),F(prop_1 & F prop_2),F(prop_1 ) & G(prop_2 ),False
7899,( prop_1 ) and repeatedly ( prop_2 ),prop_1 & GF prop_2,prop_1 & GF prop_2,True
7900,Continuously visit area 2 and take a picture each time,GF(area_2 & photo),G(area_2 -> F(photo)),False
7901,"finally, the bridge closes, the semaphore is red and a motorbike catches fire",F(bridge_closes & motorbike_catches_fire & semaphore_is_red),F(bridge_closes & semaphore_is_red & motorbike_catches_fire),True
7902,Request assistance holds at all times.,G get_help,G(get_help ),True
7903,On condition that the transition action that ( prop_1 ) is detected then the event that ( prop_2 ) wo n't get observed or at the same moment the transition action that ( prop_3 ) should be observed .,G(prop_1 -> (prop_2 | prop_3)),G(prop_1 -> (!prop_2 | prop_3)),False
7904,( prop_1 ) or at some time ( prop_2 ),prop_1 | F prop_2,prop_1 | F prop_2,True
7905,"Globally , whenever ( prop_2 ) , or ( prop_1 ) then all of the following conditions are true : for each moment in the future before the end of the execution ( prop_3 ) .",G((prop_1 | prop_2) -> GF prop_3),G((prop_2 | prop_1) -> G(prop_3)),False
7906,"when whenever go_by waste basket , at any time bring pear",F go_by_waste_basket -> F bring_pear,G(go_by_waste_basket -> F bring_pear),False
7907,whenever a manager handles requests or the constructor instantiate objects then at some point in time both a semaphore is broken and a train is crossing,G((constructor_instantiate_objects | manager_handles_requests) -> F(semaphore_is_broken & train_is_crossing)),G((manager_handles_requests | constructor_instantiate_objects) -> F(semaphore_is_broken & train_is_crossing)),True
7908,at any time ( prop_1 ) or repeatedly ( prop_2 ),F(prop_1 | GF prop_2),G(prop_1 | prop_2),False
7909,Go to kitchen_1 to pickup bottle_2 and remain in hall_2 afterward,F(kitchen_1 & F(p_bottle_2 & F(hall_2 & G hall_2))),F(kitchen_1 & p_bottle_2 & F(G hall_2)),False
7910,"If the condition that (prop_1) leads to (prop_3) is met, then eventually (prop_2) should happen.",(prop_1 -> prop_3) -> F prop_2,G((prop_1 -> F prop_3) -> F prop_2),False
7911,"after both a semaphore is yellow and the bar is up, at some point the sensor captures data",G((bar_is_up & semaphore_is_yellow) -> F sensor_captures_data),G((semaphore_is_yellow & bar_is_up) -> F(sensor_captures_data)),True
7912,"While ( prop_1 ) , then ( prop_2 ) .",G(prop_1 -> prop_2),G(prop_1 -> prop_2),True
7913,"the elevator is open and, as a consequence, every time a train derails then it will happen that the bar is down",G(elevator_is_open -> G(train_derails -> F bar_is_down)),G(elevator_is_open & G(train_derails -> F bar_is_down)),False
7914,go through the yellow or red_room and enter the blue_room,F((red_room | yellow_room) & F blue_room),! (yellow_room | red_room) | F ((yellow_room | red_room) & F blue_room),False
7915,(prop_2) or (prop_1). (prop_3) until (prop_4).,(prop_1 | prop_2) & (prop_3 U prop_4),G((prop_2 | prop_1) & (prop_3 U prop_4)),False
7916,"It is required that at some point ( prop_1 ) or ( prop_2 ) happens , and at the same time ( prop_3 ) does not happen .",!prop_3 & (prop_1 | prop_2),F((prop_1 | prop_2) & !prop_3),False
7917,"If ( prop_1 ) then ( prop_4 ) , is equivalent to ( prop_3 ) , and also ( prop_2 ) .",prop_2 & (prop_3 <-> (prop_1 -> prop_4)),G(((prop_1 -> prop_4) <-> prop_3) & prop_2),False
7918,"if ( prop_1 ) , at any time ( prop_2 )",prop_1 -> F prop_2,G(prop_1 -> G prop_2),False
7919,at some time get_near flag and when possible make_to flag,F get_near_flag & F make_to_flag,F(get_near_flag & F(make_to_flag)),False
7920,repeatedly ( prop_1 ) and never ( prop_2 ),G(F prop_1 & G!prop_2),(GF prop_1) & (G ! prop_2),True
7921,always ( prop_1 ) and when possible ( prop_2 ),G(prop_1 & F prop_2),G(prop_1 & F prop_2),True
7922,"When ( prop_2 ) , and ( prop_1 ) , then in response in no time ( prop_4 ) and ( prop_3 ) .",G((prop_1 & prop_2) -> (prop_3 & prop_4)),G((prop_2 & prop_1) -> F(prop_4 & prop_3)),False
7923,go into green_room but avoid blue_room,F green_room & G!blue_room,F(green_room ) & G(!blue_room ),True
7924,Retrieve takeout_2 from restaurant_9 and transport it to house_1,F(restaurant_9 & F(takeout_2 & F(house_1 & pd))),F(restaurant_9 & takeout_2 & F(house_1 & takeout_2)),False
7925,"Either deliver the parking_meter to the loading_dock happens infinitely often, or idle happens in the next step.",GF deliver_parking_meter_loading_dock | X idle,GF(deliver_parking_meter_loading_dock ) | X(idle ),True
7926,"Once deliver the giraffe to the loading_dock has occurred, deliver the fire_hydrant to the loading_dock will never occur again.",G(deliver_giraffe_loading_dock -> XG!deliver_fire_hydrant_loading_dock),G(deliver_giraffe_loading_dock -> G(!deliver_fire_hydrant_loading_dock)),False
7927,"If ( prop_2 ) does not happen , then ( prop_1 ) , and also ( prop_3 ) .",prop_3 & (!prop_2 -> prop_1),G(!prop_2 -> (prop_1 & prop_3)),False
7928,never let_go apple and move_to trash can,move_to_trash_can & G!let_go_apple,G(!(let_go_apple & move_to_trash_can)),False
