PROMPTTYPE,Index,Requirement,Ground Truth,Response,Equivalent
ARTEMIS,2,The sensor shall change states from NOMINAL to TRANSITION when the autopilot is not requesting support (not request).,G(!request -> X(state_is_TRANSITION)),G (!request -> X (state_is_TRANSITION)),True
ARTEMIS,2,The sensor shall change states from NOMINAL to TRANSITION when the autopilot is not requesting support (not request).,G(!request -> X(state_is_TRANSITION)),G (!request -> (state_is_TRANSITION U !state_is_TRANSITION)),False
ARTEMIS,2,The sensor shall change states from NOMINAL to TRANSITION when the autopilot is not requesting support (not request).,G(!request -> X(state_is_TRANSITION)),G (request -> !X state_is_TRANSITION) & G (!request & !state_is_TRANSITION -> X state_is_TRANSITION),False
ARTEMIS,2,The sensor shall change states from NOMINAL to TRANSITION when the autopilot is not requesting support (not request).,G(!request -> X(state_is_TRANSITION)),G (!request -> X state_is_TRANSITION),True
ARTEMIS,2,The sensor shall change states from NOMINAL to TRANSITION when the autopilot is not requesting support (not request).,G(!request -> X(state_is_TRANSITION)),G (!request -> X state_is_TRANSITION),True
ARTEMIS,2,The sensor shall change states from NOMINAL to TRANSITION when the autopilot is not requesting support (not request).,G(!request -> X(state_is_TRANSITION)),G (!request -> X state_is_TRANSITION),True
ARTEMIS,2,The sensor shall change states from NOMINAL to TRANSITION when the autopilot is not requesting support (not request).,G(!request -> X(state_is_TRANSITION)),G (!request -> X state_is_TRANSITION),True
ARTEMIS,2,The sensor shall change states from NOMINAL to TRANSITION when the autopilot is not requesting support (not request).,G(!request -> X(state_is_TRANSITION)),G (!request -> (state_is_TRANSITION U !state_is_TRANSITION)),False
ARTEMIS,2,The sensor shall change states from NOMINAL to TRANSITION when the autopilot is not requesting support (not request).,G(!request -> X(state_is_TRANSITION)),G (!request -> (state_is_TRANSITION U !state_is_TRANSITION)),False
ARTEMIS,2,The sensor shall change states from NOMINAL to TRANSITION when the autopilot is not requesting support (not request).,G(!request -> X(state_is_TRANSITION)),G (!request -> X state_is_TRANSITION),True
ARTEMIS,2,The sensor shall change states from NOMINAL to TRANSITION when the autopilot is not requesting support (not request).,G(!request -> X(state_is_TRANSITION)),G (!request -> X state_is_TRANSITION),True
ARTEMIS,2,The sensor shall change states from NOMINAL to TRANSITION when the autopilot is not requesting support (not request).,G(!request -> X(state_is_TRANSITION)),G (!request -> X state_is_TRANSITION),True
ARTEMIS,2,The sensor shall change states from NOMINAL to TRANSITION when the autopilot is not requesting support (not request).,G(!request -> X(state_is_TRANSITION)),G (!request -> X (state_is_TRANSITION)),True
ARTEMIS,2,The sensor shall change states from NOMINAL to TRANSITION when the autopilot is not requesting support (not request).,G(!request -> X(state_is_TRANSITION)),G (!request -> X state_is_TRANSITION),True
ARTEMIS,2,The sensor shall change states from NOMINAL to TRANSITION when the autopilot is not requesting support (not request).,G(!request -> X(state_is_TRANSITION)),G (!request -> X state_is_TRANSITION),True
ARTEMIS,2,The sensor shall change states from NOMINAL to TRANSITION when the autopilot is not requesting support (not request).,G(!request -> X(state_is_TRANSITION)),G (!request -> X state_is_TRANSITION),True
ARTEMIS,2,The sensor shall change states from NOMINAL to TRANSITION when the autopilot is not requesting support (not request).,G(!request -> X(state_is_TRANSITION)),G (!request -> X state_is_TRANSITION),True
ARTEMIS,2,The sensor shall change states from NOMINAL to TRANSITION when the autopilot is not requesting support (not request).,G(!request -> X(state_is_TRANSITION)),G (!request -> X state_is_TRANSITION),True
ARTEMIS,2,The sensor shall change states from NOMINAL to TRANSITION when the autopilot is not requesting support (not request).,G(!request -> X(state_is_TRANSITION)),G (!request -> X state_is_TRANSITION),True
ARTEMIS,2,The sensor shall change states from NOMINAL to TRANSITION when the autopilot is not requesting support (not request).,G(!request -> X(state_is_TRANSITION)),G (!request -> X state_is_TRANSITION),True
