pair_type,ltl,en
absence_global,G(!( brake_is_pressed | house_is_open | train_is_crossing )),"under no circumstances either the brake is pressed, the house is open or a train is crossing"
absence_global,G(!( car_starts | semaphore_is_red | bar_is_up )),"under no condition either a car starts, a semaphore is red or the bar is up"
absence_global,G(!( escalator_speeds_up & train_derails & house_is_built )),"under no condition the escalator speeds up, the train derails and the house is built"
absence_global,G(!( constructor_instantiate_objects & bar_is_closing & motorbike_falls_down )),"it is never the case that a constructor instantiate objects, the bar is closing and the motorbike falls down"
absence_global,G(!( table_has_been_moved & table_is_brown & manager_collect_claims )),"it never happens that the table has been moved, the table is brown and a manager collect claims"
absence_global,G(!( motorbike_is_driven | car_stops | house_is_open )),"it never happens that either a motorbike is driven, the car stops or a house is open"
absence_global,G(!( car_stops | train_is_crossing | sensor_captures_data )),"absolutely never, the car stops or a train is crossing or the sensor captures data"
absence_global,G(!( constructor_creates_instances & car_enters & table_is_old )),it will not happen that a constructor creates instances and together a car enters and a table is old
absence_global,G(!( bar_has_to_be_repaired | house_collapses | semaphore_is_yellow )),"never, the bar has to be repaired or a house collapses or a semaphore is yellow"
absence_global,G(!( bridge_opens & table_has_been_moved )),under no circumstances both the bridge opens and the table has been moved
absence_global,G(!( elevator_falls | brake_is_pressed | train_has_been_launched )),"it is never the case that either an elevator falls, the brake is pressed or the train has been launched"
absence_global,G(!( bar_has_to_be_repaired & motorbike_catches_fire & escalator_speeds_up )),"it will not happen that the bar has to be repaired, the motorbike catches fire and the escalator speeds up"
absence_global,G(!( bar_is_closing | table_has_been_moved | brake_is_pressed )),"absolutely never, either the bar is closing, the table has been moved or the brake is pressed"
absence_global,G(!( train_is_crossing & table_is_brown & constructor_instantiate_objects )),it will not happen that the train is crossing and together the table is brown and the constructor instantiate objects
absence_global,G(!( house_is_built & elevator_rises & motorbike_catches_fire )),"at no time the house is built and, at the same time, the elevator rises and a motorbike catches fire"
absence_global,G(!( escalator_moves & house_is_open & engine_starts )),it is never the case that the escalator moves and together the house is open and the engine starts
absence_global,G(!( sensor_captures_data | bridge_closes | house_collapses )),under no circumstances the sensor captures data or a bridge closes or the house collapses
absence_global,G(!( brake_is_released & car_starts & motorbike_is_driven )),"never, the brake is released and, at the same time, a car starts and the motorbike is driven"
absence_global,G(!( train_derails | escalator_moves | car_starts )),"absolutely never, either the train derails, the escalator moves or a car starts"
absence_global,G(!( bridge_closes & motorbike_catches_fire & escalator_speeds_up )),under no circumstances a bridge closes and together a motorbike catches fire and the escalator speeds up
absence_global,G(!( sensor_retrieves_data & train_derails & bar_is_up )),"at no time the sensor retrieves data and, at the same time, a train derails and the bar is up"
absence_global,G(!( sensor_gathers_information | bar_is_up | motorbike_is_driven )),under no condition the sensor gathers information or the bar is up or a motorbike is driven
absence_global,G(!( bridge_closes & semaphore_is_broken & manager_collect_claims )),it will not happen that a bridge closes and together a semaphore is broken and a manager collect claims
absence_global,G(!( bridge_closes & motorbike_has_stopped & table_is_old )),"under no circumstances a bridge closes and, at the same time, a motorbike has stopped and a table is old"
absence_global,G(!( manager_collect_claims | bar_is_down | motorbike_has_stopped )),"under no circumstances either the manager collect claims, the bar is down or a motorbike has stopped"
absence_global,G(!( elevator_is_blocked & train_derails & brake_is_released )),"it is never the case that the elevator is blocked and, at the same time, the train derails and the brake is released"
absence_global,G(!( engine_breaks & bar_is_down & sensor_retrieves_data )),"it never happens that the engine breaks and, at the same time, the bar is down and the sensor retrieves data"
absence_global,G(!( house_is_open & bar_is_up & bridge_closes )),"under no condition a house is open and, at the same time, the bar is up and a bridge closes"
absence_global,G(!( elevator_is_blocked | bar_is_up | bar_has_to_be_repaired )),"it is never the case that either an elevator is blocked, the bar is up or the bar has to be repaired"
absence_global,G(!( motorbike_has_stopped & semaphore_is_green & motorbike_has_started )),it will not happen that a motorbike has stopped and together the semaphore is green and the motorbike has started
absence_global,G(!( elevator_is_open | bar_is_closing | motorbike_has_stopped )),under no condition the elevator is open or the bar is closing or the motorbike has stopped
absence_global,G(!( manager_collect_claims & sensor_retrieves_data & train_derails )),"it should not happen that a manager collect claims, a sensor retrieves data and a train derails"
absence_global,G(!( brake_is_pressed | house_is_open | motorbike_has_started )),"it should not happen that either the brake is pressed, the house is open or the motorbike has started"
absence_global,G(!( bar_has_to_be_repaired | escalator_moves | manager_handles_requests )),"it will not happen that either the bar has to be repaired, the escalator moves or a manager handles requests"
absence_global,G(!( bridge_opens & table_is_brown & semaphore_is_broken )),"under no circumstances a bridge opens and, at the same time, a table is brown and a semaphore is broken"
absence_global,G(!( motorbike_has_started & house_is_built & bar_is_down )),"it never happens that a motorbike has started, the house is built and the bar is down"
absence_global,G(!( bridge_closes | sensor_gathers_information | constructor_creates_instances )),"it should not happen that either the bridge closes, the sensor gathers information or the constructor creates instances"
absence_global,G(!( motorbike_has_started & table_is_old & engine_breaks )),"it never happens that the motorbike has started and, at the same time, the table is old and the engine breaks"
absence_global,G(!( constructor_creates_instances & semaphore_is_red & escalator_speeds_up )),"absolutely never, the constructor creates instances and, at the same time, a semaphore is red and the escalator speeds up"
absence_global,G(!( car_stops & escalator_is_blocked & sensor_captures_data )),"never, a car stops and together the escalator is blocked and a sensor captures data"
absence_global,G(!( bridge_opens & constructor_creates_instances & brake_is_released )),"it will not happen that a bridge opens, a constructor creates instances and the brake is released"
absence_global,G(!( train_stops | bridge_opens | train_is_crossing )),"absolutely never, a train stops or a bridge opens or a train is crossing"
absence_global,G(!( motorbike_catches_fire & table_is_brown & bridge_closes )),"absolutely never, a motorbike catches fire, the table is brown and the bridge closes"
absence_global,G(!( elevator_rises & house_is_built & bar_has_to_be_repaired )),"under no circumstances an elevator rises and, at the same time, the house is built and the bar has to be repaired"
absence_global,G(!( car_stops & escalator_moves & train_is_crossing )),"absolutely never, the car stops and, at the same time, the escalator moves and the train is crossing"
absence_global,G(!( elevator_falls & manager_collect_claims & escalator_moves )),"it will not happen that the elevator falls, a manager collect claims and the escalator moves"
absence_global,G(!( table_has_been_moved | sensor_gathers_information | motorbike_falls_down )),at no time a table has been moved or a sensor gathers information or a motorbike falls down
absence_global,G(!( bar_is_up & motorbike_catches_fire & motorbike_falls_down )),"absolutely never, the bar is up and together a motorbike catches fire and a motorbike falls down"
absence_global,G(!( engine_starts | constructor_creates_instances | elevator_is_blocked )),it is never the case that the engine starts or the constructor creates instances or the elevator is blocked
absence_global,G(!( engine_starts | car_stops | escalator_is_blocked )),"absolutely never, the engine starts or the car stops or the escalator is blocked"
absence_global,G(!( table_is_old & engine_starts & motorbike_is_driven )),"absolutely never, the table is old and together the engine starts and a motorbike is driven"
absence_global,G(!( motorbike_is_driven | semaphore_is_green | manager_handles_requests )),it never happens that the motorbike is driven or a semaphore is green or a manager handles requests
absence_global,G(!( house_collapses & train_stops & bridge_opens )),"under no condition a house collapses and, at the same time, the train stops and the bridge opens"
absence_global,G(!( bar_is_down & house_collapses & engine_stops )),"under no condition the bar is down, the house collapses and the engine stops"
absence_global,G(!( brake_is_released & motorbike_has_stopped & house_is_built )),"under no condition the brake is released and, at the same time, the motorbike has stopped and the house is built"
absence_global,G(!( semaphore_is_broken | sensor_gathers_information | car_enters )),under no condition the semaphore is broken or a sensor gathers information or a car enters
absence_global,G(!( constructor_instantiate_objects | table_is_brown | train_has_arrived )),"it will not happen that either the constructor instantiate objects, a table is brown or the train has arrived"
absence_global,G(!( motorbike_falls_down | motorbike_catches_fire | bar_is_up )),it will not happen that the motorbike falls down or the motorbike catches fire or the bar is up
absence_global,G(!( constructor_creates_instances & semaphore_is_yellow & motorbike_catches_fire )),"never, a constructor creates instances, the semaphore is yellow and the motorbike catches fire"
absence_global,G(!( train_derails & train_has_been_launched & motorbike_falls_down )),"under no circumstances the train derails, a train has been launched and the motorbike falls down"
absence_global,G(!( train_stops & elevator_is_blocked & table_is_brown )),at no time a train stops and together an elevator is blocked and a table is brown
absence_global,G(!( bar_has_to_be_repaired & semaphore_is_green & escalator_is_blocked )),"absolutely never, the bar has to be repaired and, at the same time, the semaphore is green and the escalator is blocked"
absence_global,G(!( elevator_falls & escalator_is_blocked & engine_starts )),"it should not happen that the elevator falls and, at the same time, the escalator is blocked and the engine starts"
absence_global,G(!( car_stops & table_is_brown & motorbike_has_started )),"absolutely never, the car stops and together the table is brown and a motorbike has started"
absence_global,G(!( motorbike_has_stopped | table_is_old | brake_is_released )),"never, a motorbike has stopped or a table is old or the brake is released"
absence_global,G(!( table_has_been_moved & elevator_falls & train_has_been_launched )),"absolutely never, a table has been moved and, at the same time, an elevator falls and a train has been launched"
absence_global,G(!( constructor_creates_instances & sensor_captures_data & house_is_open )),"never, the constructor creates instances and, at the same time, a sensor captures data and the house is open"
absence_global,G(!( sensor_captures_data & constructor_creates_instances & train_stops )),"under no circumstances a sensor captures data, a constructor creates instances and the train stops"
absence_global,G(!( motorbike_has_started & bar_has_to_be_repaired & escalator_speeds_up )),"it never happens that the motorbike has started, the bar has to be repaired and the escalator speeds up"
absence_global,G(!( table_is_old | table_has_been_moved | manager_handles_requests )),under no circumstances the table is old or the table has been moved or the manager handles requests
absence_global,G(!( table_has_been_moved & semaphore_is_green & bar_has_to_be_repaired )),under no circumstances a table has been moved and together a semaphore is green and the bar has to be repaired
absence_global,G(!( table_is_old | motorbike_catches_fire | table_is_brown )),"absolutely never, the table is old or a motorbike catches fire or the table is brown"
absence_global,G(!( train_derails & sensor_retrieves_data & train_has_arrived )),"it never happens that a train derails and, at the same time, a sensor retrieves data and a train has arrived"
absence_global,G(!( semaphore_is_red | brake_is_pressed | train_derails )),"never, a semaphore is red or the brake is pressed or the train derails"
absence_global,G(!( motorbike_has_started | manager_collect_claims | train_is_crossing )),under no circumstances the motorbike has started or the manager collect claims or a train is crossing
absence_global,G(!( train_has_been_launched & sensor_captures_data & elevator_falls )),under no condition a train has been launched and together the sensor captures data and the elevator falls
absence_global,G(!( motorbike_has_started | engine_breaks | bridge_opens )),"under no circumstances either the motorbike has started, the engine breaks or the bridge opens"
absence_global,G(!( semaphore_is_red | train_derails | bridge_closes )),it will not happen that the semaphore is red or a train derails or the bridge closes
absence_global,G(!( bar_is_closing & motorbike_falls_down & bar_is_up )),it is never the case that the bar is closing and together a motorbike falls down and the bar is up
absence_global,G(!( motorbike_catches_fire & engine_starts & engine_breaks )),"it never happens that the motorbike catches fire and, at the same time, the engine starts and the engine breaks"
absence_global,G(!( sensor_retrieves_data & motorbike_is_driven & train_has_been_launched )),"it is never the case that the sensor retrieves data, a motorbike is driven and a train has been launched"
absence_global,G(!( engine_stops & motorbike_is_driven & table_has_been_moved )),"never, the engine stops and, at the same time, the motorbike is driven and the table has been moved"
absence_global,G(!( motorbike_falls_down | semaphore_is_yellow )),it never happens that a motorbike falls down or the semaphore is yellow
absence_global,G(!( house_is_open | escalator_moves | elevator_rises )),under no condition the house is open or the escalator moves or the elevator rises
absence_global,G(!( motorbike_is_driven & engine_stops & elevator_is_blocked )),"it should not happen that the motorbike is driven and, at the same time, the engine stops and an elevator is blocked"
absence_global,G(!( escalator_is_blocked & escalator_speeds_up & elevator_falls )),"absolutely never, the escalator is blocked and, at the same time, the escalator speeds up and an elevator falls"
absence_global,G(!( table_has_been_moved | motorbike_is_driven | bar_is_closing )),"it is never the case that either the table has been moved, the motorbike is driven or the bar is closing"
absence_global,G(!( table_is_old | table_is_brown | sensor_captures_data )),"absolutely never, either a table is old, a table is brown or a sensor captures data"
