pair_type,ltl,en
absence_global,G(!( ETrOISeIAGu & h_Gfj )),at no time both ETrOISeIAGu and h_Gfj
absence_global,G(!( BLYQorsxxGgAJ & rRimqAEolCof )),it should not happen that BLYQorsxxGgAJ and rRimqAEolCof
absence_global,G(!( pktim_Yrla | rVjaDzmnFGCuOU )),it never happens that either pktim_Yrla or rVjaDzmnFGCuOU
absence_global,G(!( tzBHc | BfffFHklIh | biYiT )),it is never the case that tzBHc or BfffFHklIh or biYiT
absence_global,G(!( hMRJSsdHfpGLZea )),"absolutely never, hMRJSsdHfpGLZea"
absence_global,G(!( UaQduiJh )),it is never the case that UaQduiJh
absence_global,G(!( aQgaFe_vmD )),it should not happen that aQgaFe_vmD
absence_global,G(!( UrOCpr_kHoONZ | OJVFsnpzHmDl )),it should not happen that UrOCpr_kHoONZ or OJVFsnpzHmDl
absence_global,G(!( libzi )),it should not happen that libzi
absence_global,G(!( sTqTp | zEmMXnN | ideleiA_fgg )),it will not happen that sTqTp or zEmMXnN or ideleiA_fgg
absence_global,G(!( zGLopBRW | OGROXJjz | ASZkNkiulW )),under no circumstances zGLopBRW or OGROXJjz or ASZkNkiulW
absence_global,G(!( pLANVqWTJqaDuJH | SNqquydWCk | pyrqFIbyKcgvy )),"it never happens that either pLANVqWTJqaDuJH, SNqquydWCk or pyrqFIbyKcgvy"
absence_global,G(!( bxgEyRbc )),it will not happen that bxgEyRbc
absence_global,G(!( TykCnfEDQPm_Ug & izvCFuh & dELLDHLeH )),"under no circumstances TykCnfEDQPm_Ug, izvCFuh and dELLDHLeH"
absence_global,G(!( c_wSGccsbcmGugW )),it should not happen that c_wSGccsbcmGugW
absence_global,G(!( ArLvBGLLC & uolGThnaaly )),"never, both ArLvBGLLC and uolGThnaaly"
absence_global,G(!( KejTX_Qd & CdjAznya )),"absolutely never, both KejTX_Qd and CdjAznya"
absence_global,G(!( OkiiL | xfgQF_i )),it is never the case that either OkiiL or xfgQF_i
absence_global,G(!( veeNF | bVblaDlwfnLb | xOYbCNrJAvYKTv )),it should not happen that veeNF or bVblaDlwfnLb or xOYbCNrJAvYKTv
absence_global,G(!( CWQILlftIfPb )),"never, CWQILlftIfPb"
absence_global,G(!( kDefHOFj | SRjAp | KlYayn )),it never happens that kDefHOFj or SRjAp or KlYayn
absence_global,G(!( kWAyovf )),it should not happen that kWAyovf
absence_global,G(!( XgqQgqaa_NF )),it is never the case that XgqQgqaa_NF
absence_global,G(!( qCPdgAbP )),at no time qCPdgAbP
absence_global,G(!( nXDEitkYEopV & fCVIDHiStnBRL & doPfZFIBkWZ )),"at no time nXDEitkYEopV and, at the same time, fCVIDHiStnBRL and doPfZFIBkWZ"
absence_global,G(!( CeOaumjzZ & pRsmgnJXMIo )),it never happens that CeOaumjzZ and pRsmgnJXMIo
absence_global,G(!( QNrfIQBA_y | HtaAOhGg | ZTrFHuJ )),"never, either QNrfIQBA_y, HtaAOhGg or ZTrFHuJ"
absence_global,G(!( T_FKHLGVgSLR & pyfHCMDEFqQ & yEFaafS )),"under no condition T_FKHLGVgSLR, pyfHCMDEFqQ and yEFaafS"
absence_global,G(!( STBhEvdbjLCoJN & pJZnRSju & _VMFVICPj )),"under no condition STBhEvdbjLCoJN, pJZnRSju and _VMFVICPj"
absence_global,G(!( NGlZZpzAcvD_WBB )),under no circumstances NGlZZpzAcvD_WBB
absence_global,G(!( rfEfVegMMnttG )),"never, rfEfVegMMnttG"
absence_global,G(!( dzVOHr | inVSdOeglFbQ )),it never happens that either dzVOHr or inVSdOeglFbQ
absence_global,G(!( MvGqyidEAU & ZjdxonEdXlVX & X_yNZEBOin )),"under no condition MvGqyidEAU, ZjdxonEdXlVX and X_yNZEBOin"
absence_global,G(!( J_tZa )),it is never the case that J_tZa
absence_global,G(!( xGKCmpdVSdn )),under no circumstances xGKCmpdVSdn
absence_global,G(!( ouTB_CgOkenNn & uPjnMfO )),it should not happen that ouTB_CgOkenNn and uPjnMfO
absence_global,G(!( RYVJbIxCjKmRFpN | fLQtl )),it is never the case that RYVJbIxCjKmRFpN or fLQtl
absence_global,G(!( nxLfRxFUcpPU )),"never, nxLfRxFUcpPU"
absence_global,G(!( SkiAZ )),"absolutely never, SkiAZ"
absence_global,G(!( gXUZRpK & dyVDV )),it never happens that both gXUZRpK and dyVDV
absence_global,G(!( pyKFzCafDvpl & IuobmOHwz & sPHQELxwaQ_ )),"it never happens that pyKFzCafDvpl, IuobmOHwz and sPHQELxwaQ_"
absence_global,G(!( nJpnh & CyPBrohD )),it will not happen that nJpnh and CyPBrohD
absence_global,G(!( hsJSsGhK_mq | imRLRzGaEaHiF | vWOJ_ )),"under no circumstances either hsJSsGhK_mq, imRLRzGaEaHiF or vWOJ_"
absence_global,G(!( hnKN_ | zovhLPMGPXZI | oIESOEnfi )),"absolutely never, hnKN_ or zovhLPMGPXZI or oIESOEnfi"
absence_global,G(!( FFuFRtjYyEBken )),"never, FFuFRtjYyEBken"
absence_global,G(!( DuJFGRkuoiS )),under no circumstances DuJFGRkuoiS
absence_global,G(!( mWiiBhEpBuz )),"never, mWiiBhEpBuz"
absence_global,G(!( mXODzvPyyK & wdtbTZRYEhDmIlV & GxDYLAWA )),it should not happen that mXODzvPyyK and together wdtbTZRYEhDmIlV and GxDYLAWA
absence_global,G(!( JFNRhtb )),it never happens that JFNRhtb
absence_global,G(!( cv_QPLzr | laT_aXtGpTgcYWx | TIppe_BKLGqSeX )),under no circumstances cv_QPLzr or laT_aXtGpTgcYWx or TIppe_BKLGqSeX
absence_global,G(!( GtTovI & DsdmGAT & gZSCTrhjmpjofVe )),"absolutely never, GtTovI and together DsdmGAT and gZSCTrhjmpjofVe"
absence_global,G(!( HhOaAI | wVMNUMAk )),it will not happen that either HhOaAI or wVMNUMAk
absence_global,G(!( VoukuZzdoYJe )),it will not happen that VoukuZzdoYJe
absence_global,G(!( JlJrOzYFN | WOFtVYXBK )),it will not happen that JlJrOzYFN or WOFtVYXBK
absence_global,G(!( pIhpMYLvCMJVz | DwjBBN_x | irHgSgnHb )),"absolutely never, pIhpMYLvCMJVz or DwjBBN_x or irHgSgnHb"
absence_global,G(!( ydaaJfZVtGL | ntwfV | xLakUpTMSOJTekj )),"absolutely never, either ydaaJfZVtGL, ntwfV or xLakUpTMSOJTekj"
absence_global,G(!( QNXCVp & AthacpircvTRo )),it will not happen that both QNXCVp and AthacpircvTRo
absence_global,G(!( sfZwar )),under no condition sfZwar
absence_global,G(!( wyFRV_ & ipQHiXY )),it is never the case that both wyFRV_ and ipQHiXY
