PROMPTTYPE,Index,Requirement,Ground Truth,Response,Equivalent
ADARULE,13,( prop_1 ) or at some time ( prop_2 ),prop_1 | F prop_2,prop_1 | F prop_2,True
ADARULE,13,( prop_1 ) or at some time ( prop_2 ),prop_1 | F prop_2,prop_1 | F prop_2,True
ADARULE,13,( prop_1 ) or at some time ( prop_2 ),prop_1 | F prop_2,prop_1 | F prop_2,True
ADARULE,13,( prop_1 ) or at some time ( prop_2 ),prop_1 | F prop_2,prop_1 | F prop_2,True
ADARULE,13,( prop_1 ) or at some time ( prop_2 ),prop_1 | F prop_2,prop_1 | F prop_2,True
ADARULE,13,( prop_1 ) or at some time ( prop_2 ),prop_1 | F prop_2,prop_1 | F prop_2,True
ADARULE,13,( prop_1 ) or at some time ( prop_2 ),prop_1 | F prop_2,prop_1 | F prop_2,True
ADARULE,13,( prop_1 ) or at some time ( prop_2 ),prop_1 | F prop_2,prop_1 | F prop_2,True
ADARULE,13,( prop_1 ) or at some time ( prop_2 ),prop_1 | F prop_2,prop_1 | F prop_2,True
ADARULE,13,( prop_1 ) or at some time ( prop_2 ),prop_1 | F prop_2,prop_1 | F prop_2,True
ADARULE,13,( prop_1 ) or at some time ( prop_2 ),prop_1 | F prop_2,prop_1 | F prop_2,True
ADARULE,13,( prop_1 ) or at some time ( prop_2 ),prop_1 | F prop_2,prop_1 | F prop_2,True
ADARULE,13,( prop_1 ) or at some time ( prop_2 ),prop_1 | F prop_2,prop_1 | F prop_2,True
ADARULE,13,( prop_1 ) or at some time ( prop_2 ),prop_1 | F prop_2,G(prop_1 | F prop_2),False
ADARULE,13,( prop_1 ) or at some time ( prop_2 ),prop_1 | F prop_2,prop_1 | F prop_2,True
ADARULE,13,( prop_1 ) or at some time ( prop_2 ),prop_1 | F prop_2,prop_1 | F prop_2,True
ADARULE,13,( prop_1 ) or at some time ( prop_2 ),prop_1 | F prop_2,prop_1 | F prop_2,True
ADARULE,13,( prop_1 ) or at some time ( prop_2 ),prop_1 | F prop_2,prop_1 | F prop_2,True
ADARULE,13,( prop_1 ) or at some time ( prop_2 ),prop_1 | F prop_2,prop_1 | F prop_2,True
ADARULE,13,( prop_1 ) or at some time ( prop_2 ),prop_1 | F prop_2,prop_1 | F prop_2,True
ADARULE,13,( prop_1 ) or at some time ( prop_2 ),prop_1 | F prop_2,prop_1 | F prop_2,True
ADARULE,13,( prop_1 ) or at some time ( prop_2 ),prop_1 | F prop_2,prop_1 | F prop_2,True
ADARULE,13,( prop_1 ) or at some time ( prop_2 ),prop_1 | F prop_2,prop_1 | F prop_2,True
ADARULE,13,( prop_1 ) or at some time ( prop_2 ),prop_1 | F prop_2,prop_1 | F prop_2,True
ADARULE,13,( prop_1 ) or at some time ( prop_2 ),prop_1 | F prop_2,prop_1 | F prop_2,True
ADARULE,13,( prop_1 ) or at some time ( prop_2 ),prop_1 | F prop_2,prop_1 | F prop_2,True
ADARULE,13,( prop_1 ) or at some time ( prop_2 ),prop_1 | F prop_2,prop_1 | F prop_2,True
ADARULE,13,( prop_1 ) or at some time ( prop_2 ),prop_1 | F prop_2,prop_1 | F prop_2,True
ADARULE,13,( prop_1 ) or at some time ( prop_2 ),prop_1 | F prop_2,prop_1 | F prop_2,True
ADARULE,13,( prop_1 ) or at some time ( prop_2 ),prop_1 | F prop_2,prop_1 | F prop_2,True
ADARULE,13,( prop_1 ) or at some time ( prop_2 ),prop_1 | F prop_2,prop_1 | F prop_2,True
ADARULE,13,( prop_1 ) or at some time ( prop_2 ),prop_1 | F prop_2,prop_1 | F prop_2,True
ADARULE,13,( prop_1 ) or at some time ( prop_2 ),prop_1 | F prop_2,prop_1 | F prop_2,True
