PROMPTTYPE,Index,Requirement,Ground Truth,Response,Equivalent
BASIC,0,The machine provides beer infinitely often after initially providing soda three times in a row,x1 & X(x1) & X(X(x1))->G(F(x1)),G(F(x1) & G(!x1)) | F(G(x1)) -> F(G(x1)),False
BASIC,0,The machine provides beer infinitely often after initially providing soda three times in a row,x1 & X(x1) & X(X(x1))->G(F(x1)),G(F(x1) & G(!x1)) | F(G(x1)) -> F(G(x1)),False
BASIC,0,The machine provides beer infinitely often after initially providing soda three times in a row,x1 & X(x1) & X(X(x1))->G(F(x1)),G(F(x1) & G(!x1)) | F(G(x1)) -> F(G(x1)),False
BASIC,0,The machine provides beer infinitely often after initially providing soda three times in a row,x1 & X(x1) & X(X(x1))->G(F(x1)),G(F(x1) & G(!x1)) | F(G(x1)) -> F(G(x1)),False
BASIC,0,The machine provides beer infinitely often after initially providing soda three times in a row,x1 & X(x1) & X(X(x1))->G(F(x1)),G(F(x1 & G(!x1))) | G(!x1),False
BASIC,0,The machine provides beer infinitely often after initially providing soda three times in a row,x1 & X(x1) & X(X(x1))->G(F(x1)),G(F(x1) & G(!x1)) | F(G(x1)) -> F(G(x1)),False
BASIC,0,The machine provides beer infinitely often after initially providing soda three times in a row,x1 & X(x1) & X(X(x1))->G(F(x1)),G(F(x1) & G(!x1)) | F(G(x1)) -> F(G(x1)),False
BASIC,0,The machine provides beer infinitely often after initially providing soda three times in a row,x1 & X(x1) & X(X(x1))->G(F(x1)),G(F(x1) & G(!x1)) | F(G(x1)) -> F(G(x1)),False
BASIC,0,The machine provides beer infinitely often after initially providing soda three times in a row,x1 & X(x1) & X(X(x1))->G(F(x1)),G(F(x1) & G(!x1)) | F(G(x1)) -> F(G(x1)),False
BASIC,0,The machine provides beer infinitely often after initially providing soda three times in a row,x1 & X(x1) & X(X(x1))->G(F(x1)),G(F(x1) & G(!x1)) | F(G(x1)) -> F(G(x1)),False
BASIC,0,The machine provides beer infinitely often after initially providing soda three times in a row,x1 & X(x1) & X(X(x1))->G(F(x1)),G(F(x1) & G(!x1)) | F(G(x1)) -> F(G(x1)),False
BASIC,0,The machine provides beer infinitely often after initially providing soda three times in a row,x1 & X(x1) & X(X(x1))->G(F(x1)),G(F(x1) & G(!x1)) | F(G(x1)) -> F(G(x1)),False
BASIC,0,The machine provides beer infinitely often after initially providing soda three times in a row,x1 & X(x1) & X(X(x1))->G(F(x1)),G(F(x1) & G(!x1)) | F(G(x1)) -> F(G(x1)),False
BASIC,0,The machine provides beer infinitely often after initially providing soda three times in a row,x1 & X(x1) & X(X(x1))->G(F(x1)),G(F(x1) & G(!x1)) | F(G(x1)) -> F(G(x1)),False
BASIC,0,The machine provides beer infinitely often after initially providing soda three times in a row,x1 & X(x1) & X(X(x1))->G(F(x1)),G(F(x1) & G(!x1)) | F(G(x1)) -> F(G(x1)),False
BASIC,0,The machine provides beer infinitely often after initially providing soda three times in a row,x1 & X(x1) & X(X(x1))->G(F(x1)),G(F(x1) & G(!x1)) | F(G(x1)) -> F(G(x1)),False
BASIC,0,The machine provides beer infinitely often after initially providing soda three times in a row,x1 & X(x1) & X(X(x1))->G(F(x1)),G(F(x1) & G(!x1)) | F(G(x1)) -> F(G(x1)),False
BASIC,0,The machine provides beer infinitely often after initially providing soda three times in a row,x1 & X(x1) & X(X(x1))->G(F(x1)),G(F(x1) & G(!x1)) | F(G(x1)) -> F(G(x1)),False
BASIC,0,The machine provides beer infinitely often after initially providing soda three times in a row,x1 & X(x1) & X(X(x1))->G(F(x1)),G(F(x1 & G(!x1))) | G(!x1),False
BASIC,0,The machine provides beer infinitely often after initially providing soda three times in a row,x1 & X(x1) & X(X(x1))->G(F(x1)),G(F(x1) & G(!x1)) | F(G(x1)) -> F(G(x1)),False
BASIC,0,The machine provides beer infinitely often after initially providing soda three times in a row,x1 & X(x1) & X(X(x1))->G(F(x1)),G(F(x1) & G(!x1)) | F(G(x1)) -> F(G(x1)),False
BASIC,0,The machine provides beer infinitely often after initially providing soda three times in a row,x1 & X(x1) & X(X(x1))->G(F(x1)),G(F(x1) & G(!x1)) | F(G(x1)) -> F(G(x1)),False
BASIC,0,The machine provides beer infinitely often after initially providing soda three times in a row,x1 & X(x1) & X(X(x1))->G(F(x1)),G(F(x1) & G(!x1)) | F(G(x1)) -> F(G(x1)),False
BASIC,0,The machine provides beer infinitely often after initially providing soda three times in a row,x1 & X(x1) & X(X(x1))->G(F(x1)),G(F(x1) & G(!x1)) | F(G(x1)) -> F(G(x1)),False
BASIC,0,The machine provides beer infinitely often after initially providing soda three times in a row,x1 & X(x1) & X(X(x1))->G(F(x1)),G(F(x1) & G(!x1)) | F(G(x1)) -> F(G(x1)),False
BASIC,0,The machine provides beer infinitely often after initially providing soda three times in a row,x1 & X(x1) & X(X(x1))->G(F(x1)),G(F(x1) & G(!x1)) | F(G(x1)) -> F(G(x1)),False
BASIC,0,The machine provides beer infinitely often after initially providing soda three times in a row,x1 & X(x1) & X(X(x1))->G(F(x1)),G(F(x1) & G(!x1)) | F(G(x1)) -> F(G(x1)),False
BASIC,0,The machine provides beer infinitely often after initially providing soda three times in a row,x1 & X(x1) & X(X(x1))->G(F(x1)),G(F(x1) & G(!x1)) | F(G(x1)) -> F(G(x1)),False
BASIC,0,The machine provides beer infinitely often after initially providing soda three times in a row,x1 & X(x1) & X(X(x1))->G(F(x1)),G(F(x1) & G(!x1)) | F(G(x1)) -> F(G(x1)),False
BASIC,0,The machine provides beer infinitely often after initially providing soda three times in a row,x1 & X(x1) & X(X(x1))->G(F(x1)),G(F(x1) & G(!x1)) | F(G(x1)) -> F(G(x1)),False
BASIC,0,The machine provides beer infinitely often after initially providing soda three times in a row,x1 & X(x1) & X(X(x1))->G(F(x1)),G(F(x1) & G(!x1)) | F(G(x1)) -> F(G(x1)),False
BASIC,0,The machine provides beer infinitely often after initially providing soda three times in a row,x1 & X(x1) & X(X(x1))->G(F(x1)),G(F(x1) & G(!x1)) | F(G(x1)) -> F(G(x1)),False
BASIC,0,The machine provides beer infinitely often after initially providing soda three times in a row,x1 & X(x1) & X(X(x1))->G(F(x1)),G(F(x1) & G(!x1)) | F(G(x1)) -> F(G(x1)),False
BASIC,0,The machine provides beer infinitely often after initially providing soda three times in a row,x1 & X(x1) & X(X(x1))->G(F(x1)),G(F(x1) & G(!x1)) | F(G(x1)) -> F(G(x1)),False
BASIC,0,The machine provides beer infinitely often after initially providing soda three times in a row,x1 & X(x1) & X(X(x1))->G(F(x1)),G(F(x1) & G(!x1)) | F(G(x1)) -> F(G(x1)),False
BASIC,0,The machine provides beer infinitely often after initially providing soda three times in a row,x1 & X(x1) & X(X(x1))->G(F(x1)),G(F(x1) & G(!x1)) | F(G(x1)) -> F(G(x1)),False
BASIC,0,The machine provides beer infinitely often after initially providing soda three times in a row,x1 & X(x1) & X(X(x1))->G(F(x1)),G(F(x1) & G(!x1)) | F(G(x1)) -> F(G(x1)),False
BASIC,0,The machine provides beer infinitely often after initially providing soda three times in a row,x1 & X(x1) & X(X(x1))->G(F(x1)),G(F(x1) & G(!x1)) | F(G(x1)) -> F(G(x1)),False
BASIC,0,The machine provides beer infinitely often after initially providing soda three times in a row,x1 & X(x1) & X(X(x1))->G(F(x1)),G(F(x1) & G(!x1)) | F(G(x1)) -> F(G(x1)),False
BASIC,0,The machine provides beer infinitely often after initially providing soda three times in a row,x1 & X(x1) & X(X(x1))->G(F(x1)),G(F(x1) & G(!x1)) | F(G(x1)) -> F(G(x1)),False
BASIC,0,The machine provides beer infinitely often after initially providing soda three times in a row,x1 & X(x1) & X(X(x1))->G(F(x1)),G(F(x1) & G(!x1)) | F(G(x1)) -> F(G(x1)),False
BASIC,0,The machine provides beer infinitely often after initially providing soda three times in a row,x1 & X(x1) & X(X(x1))->G(F(x1)),G(F(x1) & G(!x1)) | F(G(x1)) -> F(G(x1)),False
BASIC,0,The machine provides beer infinitely often after initially providing soda three times in a row,x1 & X(x1) & X(X(x1))->G(F(x1)),G(F(x1) & G(!x1)) | F(G(x1)) -> F(G(x1)),False
BASIC,0,The machine provides beer infinitely often after initially providing soda three times in a row,x1 & X(x1) & X(X(x1))->G(F(x1)),G(F(x1 & G(!x1))) | G(!x1),False
BASIC,0,The machine provides beer infinitely often after initially providing soda three times in a row,x1 & X(x1) & X(X(x1))->G(F(x1)),G(F(x1) & G(!x1)) | F(G(x1)) -> F(G(x1)),False
BASIC,0,The machine provides beer infinitely often after initially providing soda three times in a row,x1 & X(x1) & X(X(x1))->G(F(x1)),G(F(x1) & G(!x1)) | F(G(x1)) -> F(G(x1)),False
BASIC,0,The machine provides beer infinitely often after initially providing soda three times in a row,x1 & X(x1) & X(X(x1))->G(F(x1)),G(F(x1) & G(!x1)) | F(G(x1)) -> F(G(x1)),False
BASIC,0,The machine provides beer infinitely often after initially providing soda three times in a row,x1 & X(x1) & X(X(x1))->G(F(x1)),G(F(x1) & G(!x1)) | F(G(x1)) -> F(G(x1)),False
BASIC,0,The machine provides beer infinitely often after initially providing soda three times in a row,x1 & X(x1) & X(X(x1))->G(F(x1)),G(F(x1) & G(!x1)) | F(G(x1)) -> F(G(x1)),False
BASIC,0,The machine provides beer infinitely often after initially providing soda three times in a row,x1 & X(x1) & X(X(x1))->G(F(x1)),G(F(x1 & G(!x1))) | G(!x1),False
BASIC,0,The machine provides beer infinitely often after initially providing soda three times in a row,x1 & X(x1) & X(X(x1))->G(F(x1)),G(F(x1) & G(!x1)) | F(G(x1)) -> F(G(x1)),False
BASIC,0,The machine provides beer infinitely often after initially providing soda three times in a row,x1 & X(x1) & X(X(x1))->G(F(x1)),G(F(x1) & G(!x1)) | F(G(x1)) -> F(G(x1)),False
BASIC,0,The machine provides beer infinitely often after initially providing soda three times in a row,x1 & X(x1) & X(X(x1))->G(F(x1)),G(F(x1) & G(!x1)) | F(G(x1)) -> F(G(x1)),False
BASIC,0,The machine provides beer infinitely often after initially providing soda three times in a row,x1 & X(x1) & X(X(x1))->G(F(x1)),G(F(x1) & G(!x1)) | F(G(x1)) -> F(G(x1)),False
BASIC,0,The machine provides beer infinitely often after initially providing soda three times in a row,x1 & X(x1) & X(X(x1))->G(F(x1)),G(F(x1) & G(!x1)) | F(G(x1)) -> F(G(x1)),False
BASIC,0,The machine provides beer infinitely often after initially providing soda three times in a row,x1 & X(x1) & X(X(x1))->G(F(x1)),G(F(x1) & G(!x1)) | F(G(x1)) -> F(G(x1)),False
BASIC,0,The machine provides beer infinitely often after initially providing soda three times in a row,x1 & X(x1) & X(X(x1))->G(F(x1)),G(F(x1) & G(!x1)) | F(G(x1)) -> F(G(x1)),False
BASIC,0,The machine provides beer infinitely often after initially providing soda three times in a row,x1 & X(x1) & X(X(x1))->G(F(x1)),G(F(x1) & G(!x1)) | F(G(x1)) -> F(G(x1)),False
BASIC,0,The machine provides beer infinitely often after initially providing soda three times in a row,x1 & X(x1) & X(X(x1))->G(F(x1)),G(F(x1) & G(!x1)) | F(G(x1)) -> F(G(x1)),False
BASIC,0,The machine provides beer infinitely often after initially providing soda three times in a row,x1 & X(x1) & X(X(x1))->G(F(x1)),G(F(x1) & G(!x1)) | F(G(x1)) -> F(G(x1)),False
BASIC,0,The machine provides beer infinitely often after initially providing soda three times in a row,x1 & X(x1) & X(X(x1))->G(F(x1)),G(F(x1 & G(!x1))) | G(!x1),False
BASIC,0,The machine provides beer infinitely often after initially providing soda three times in a row,x1 & X(x1) & X(X(x1))->G(F(x1)),G(F(x1) & G(!x1)) | F(G(x1)) -> F(G(x1)),False
BASIC,0,The machine provides beer infinitely often after initially providing soda three times in a row,x1 & X(x1) & X(X(x1))->G(F(x1)),G(F(x1) & G(!x1)) | F(G(x1)) -> F(G(x1)),False
BASIC,0,The machine provides beer infinitely often after initially providing soda three times in a row,x1 & X(x1) & X(X(x1))->G(F(x1)),G(F(x1) & G(!x1)) | F(G(x1)) -> F(G(x1)),False
BASIC,0,The machine provides beer infinitely often after initially providing soda three times in a row,x1 & X(x1) & X(X(x1))->G(F(x1)),G(F(x1) & G(!x1)) | F(G(x1)) -> F(G(x1)),False
BASIC,0,The machine provides beer infinitely often after initially providing soda three times in a row,x1 & X(x1) & X(X(x1))->G(F(x1)),G(F(x1) & G(!x1)) | F(G(x1)) -> F(G(x1)),False
BASIC,0,The machine provides beer infinitely often after initially providing soda three times in a row,x1 & X(x1) & X(X(x1))->G(F(x1)),G(F(x1) & G(!x1)) | F(G(x1)) -> F(G(x1)),False
BASIC,0,The machine provides beer infinitely often after initially providing soda three times in a row,x1 & X(x1) & X(X(x1))->G(F(x1)),G(F(x1) & G(!x1)) | F(G(x1)) -> F(G(x1)),False
BASIC,0,The machine provides beer infinitely often after initially providing soda three times in a row,x1 & X(x1) & X(X(x1))->G(F(x1)),G(F(x1) & G(!x1)) | F(G(x1)) -> F(G(x1)),False
BASIC,0,The machine provides beer infinitely often after initially providing soda three times in a row,x1 & X(x1) & X(X(x1))->G(F(x1)),G(F(x1) & G(!x1)) | F(G(x1)) -> F(G(x1)),False
BASIC,0,The machine provides beer infinitely often after initially providing soda three times in a row,x1 & X(x1) & X(X(x1))->G(F(x1)),G(F(x1) & G(!x1)) | F(G(x1)) -> F(G(x1)),False
BASIC,0,The machine provides beer infinitely often after initially providing soda three times in a row,x1 & X(x1) & X(X(x1))->G(F(x1)),G(F(x1 & G(!x1))) | G(!x1),False
BASIC,0,The machine provides beer infinitely often after initially providing soda three times in a row,x1 & X(x1) & X(X(x1))->G(F(x1)),G(F(x1) & G(!x1)) | F(G(x1)) -> F(G(x1)),False
BASIC,0,The machine provides beer infinitely often after initially providing soda three times in a row,x1 & X(x1) & X(X(x1))->G(F(x1)),G(F(x1) & G(!x1)) | F(G(x1)) -> F(G(x1)),False
BASIC,0,The machine provides beer infinitely often after initially providing soda three times in a row,x1 & X(x1) & X(X(x1))->G(F(x1)),G(F(x1) & G(!x1)) | F(G(x1)) -> F(G(x1)),False
BASIC,0,The machine provides beer infinitely often after initially providing soda three times in a row,x1 & X(x1) & X(X(x1))->G(F(x1)),G(F(x1) & G(!x1)) | F(G(x1)) -> F(G(x1)),False
BASIC,0,The machine provides beer infinitely often after initially providing soda three times in a row,x1 & X(x1) & X(X(x1))->G(F(x1)),G(F(x1) & G(!x1)) | F(G(x1)) -> F(G(x1)),False
BASIC,0,The machine provides beer infinitely often after initially providing soda three times in a row,x1 & X(x1) & X(X(x1))->G(F(x1)),G(F(x1) & G(!x1)) | F(G(x1)) -> F(G(x1)),False
BASIC,0,The machine provides beer infinitely often after initially providing soda three times in a row,x1 & X(x1) & X(X(x1))->G(F(x1)),G(F(x1) & G(!x1)) | F(G(x1)) -> F(G(x1)),False
BASIC,0,The machine provides beer infinitely often after initially providing soda three times in a row,x1 & X(x1) & X(X(x1))->G(F(x1)),G(F(x1) & G(!x1)) | F(G(x1)) -> F(G(x1)),False
BASIC,0,The machine provides beer infinitely often after initially providing soda three times in a row,x1 & X(x1) & X(X(x1))->G(F(x1)),G(F(x1) & G(!x1)) | F(G(x1)) -> F(G(x1)),False
BASIC,0,The machine provides beer infinitely often after initially providing soda three times in a row,x1 & X(x1) & X(X(x1))->G(F(x1)),G(F(x1) & G(!x1)) | F(G(x1)) -> F(G(x1)),False
BASIC,0,The machine provides beer infinitely often after initially providing soda three times in a row,x1 & X(x1) & X(X(x1))->G(F(x1)),G(F(x1) & G(!x1)) | F(G(x1)) -> F(G(x1)),False
BASIC,0,The machine provides beer infinitely often after initially providing soda three times in a row,x1 & X(x1) & X(X(x1))->G(F(x1)),G(F(x1) & G(!x1)) | F(G(x1)) -> F(G(x1)),False
BASIC,0,The machine provides beer infinitely often after initially providing soda three times in a row,x1 & X(x1) & X(X(x1))->G(F(x1)),G(F(x1) & G(!x1)) | F(G(x1)) -> F(G(x1)),False
BASIC,0,The machine provides beer infinitely often after initially providing soda three times in a row,x1 & X(x1) & X(X(x1))->G(F(x1)),G(F(x1) & G(!x1)) | F(G(x1)) -> F(G(x1)),False
BASIC,0,The machine provides beer infinitely often after initially providing soda three times in a row,x1 & X(x1) & X(X(x1))->G(F(x1)),G(F(x1) & G(!x1)) | F(G(x1)) -> F(G(x1)),False
BASIC,0,The machine provides beer infinitely often after initially providing soda three times in a row,x1 & X(x1) & X(X(x1))->G(F(x1)),G(F(x1 & G(!x1))) | G(!x1),False
BASIC,0,The machine provides beer infinitely often after initially providing soda three times in a row,x1 & X(x1) & X(X(x1))->G(F(x1)),G(F(x1) & G(!x1)) | F(G(x1)) -> F(G(x1)),False
BASIC,0,The machine provides beer infinitely often after initially providing soda three times in a row,x1 & X(x1) & X(X(x1))->G(F(x1)),G(F(x1) & G(!x1)) | F(G(x1)) -> F(G(x1)),False
BASIC,0,The machine provides beer infinitely often after initially providing soda three times in a row,x1 & X(x1) & X(X(x1))->G(F(x1)),G(F(x1) & G(!x1)) | F(G(x1)) -> F(G(x1)),False
BASIC,0,The machine provides beer infinitely often after initially providing soda three times in a row,x1 & X(x1) & X(X(x1))->G(F(x1)),G(F(x1) & G(!x1)) | F(G(x1)) -> F(G(x1)),False
BASIC,0,The machine provides beer infinitely often after initially providing soda three times in a row,x1 & X(x1) & X(X(x1))->G(F(x1)),G(F(x1) & G(!x1)) | F(G(x1)) -> F(G(x1)),False
BASIC,0,The machine provides beer infinitely often after initially providing soda three times in a row,x1 & X(x1) & X(X(x1))->G(F(x1)),G(F(x1 & G(!x1))) | G(!x1),False
BASIC,0,The machine provides beer infinitely often after initially providing soda three times in a row,x1 & X(x1) & X(X(x1))->G(F(x1)),G(F(x1) & G(!x1)) | F(G(x1)) -> F(G(x1)),False
BASIC,0,The machine provides beer infinitely often after initially providing soda three times in a row,x1 & X(x1) & X(X(x1))->G(F(x1)),G(F(x1) & G(!x1)) | F(G(x1)) -> F(G(x1)),False
BASIC,0,The machine provides beer infinitely often after initially providing soda three times in a row,x1 & X(x1) & X(X(x1))->G(F(x1)),G(F(x1) & G(!x1)) | F(G(x1)) -> F(G(x1)),False
BASIC,0,The machine provides beer infinitely often after initially providing soda three times in a row,x1 & X(x1) & X(X(x1))->G(F(x1)),G(F(x1) & G(!x1)) | F(G(x1)) -> F(G(x1)),False
BASIC,0,The machine provides beer infinitely often after initially providing soda three times in a row,x1 & X(x1) & X(X(x1))->G(F(x1)),G(F(x1) & G(!x1)) | F(G(x1)) -> F(G(x1)),False
BASIC,0,The machine provides beer infinitely often after initially providing soda three times in a row,x1 & X(x1) & X(X(x1))->G(F(x1)),G(F(x1) & G(!x1)) | F(G(x1)) -> F(G(x1)),False
BASIC,11,Every process that is continuously enabled from a certain time instant on gets its turn infinitely often.,G(G(x1) -> F(x2)),G(x1 -> G(x1 -> G(F(x2)))),False
BASIC,11,Every process that is continuously enabled from a certain time instant on gets its turn infinitely often.,G(G(x1) -> F(x2)),G(x1 -> G(x1 -> G(F(x2)))),False
BASIC,11,Every process that is continuously enabled from a certain time instant on gets its turn infinitely often.,G(G(x1) -> F(x2)),G(x1 -> G(x1 -> G(F(x2)))),False
BASIC,11,Every process that is continuously enabled from a certain time instant on gets its turn infinitely often.,G(G(x1) -> F(x2)),G(x1 -> G(x1 -> G(F(x2)))),False
BASIC,11,Every process that is continuously enabled from a certain time instant on gets its turn infinitely often.,G(G(x1) -> F(x2)),G(x1 -> G(x1 -> G(F(x2)))),False
BASIC,11,Every process that is continuously enabled from a certain time instant on gets its turn infinitely often.,G(G(x1) -> F(x2)),G(x1 -> G(x1 -> G(F(x2)))),False
BASIC,11,Every process that is continuously enabled from a certain time instant on gets its turn infinitely often.,G(G(x1) -> F(x2)),G(x1 -> G(x1 -> F(x2))),False
BASIC,11,Every process that is continuously enabled from a certain time instant on gets its turn infinitely often.,G(G(x1) -> F(x2)),G(x1 -> G(x1 -> G(F(x2)))),False
BASIC,11,Every process that is continuously enabled from a certain time instant on gets its turn infinitely often.,G(G(x1) -> F(x2)),G(x1 -> G(x1 -> G(F(x2)))),False
BASIC,11,Every process that is continuously enabled from a certain time instant on gets its turn infinitely often.,G(G(x1) -> F(x2)),G(x1 -> G(x1 -> G(F(x2)))),False
BASIC,11,Every process that is continuously enabled from a certain time instant on gets its turn infinitely often.,G(G(x1) -> F(x2)),G(x1 -> G(x1 -> G(F(x2)))),False
BASIC,11,Every process that is continuously enabled from a certain time instant on gets its turn infinitely often.,G(G(x1) -> F(x2)),G(x1 -> G(x1 -> G(F(x2)))),False
