Requirement,Ground Truth,Atomic Proposition
If enqueue(d1) then enqueue(d2) then (A sequence of calls that enqueue d1 and d2 followed by start of),G ((call_Enqueue_d1 & (!return_Dequeue_d1 U (call_Enqueue_d2 & (!return_Dequeue_d1 & !return_Dequeue_d2 U call_Top_Down)))) -> F (call_Top_Down & F (call_P_d1 & F call_P_d2))),"{call_Enqueue_d1, call_Enqueue_d2, call_P_d1, call_P_d2, call_Top_Down, return_Dequeue_d1, return_Dequeue_d2}"
If enqueue(d1) then enqueue(d2) then (Subsequent calls that enqueue d1 and d2 followed by start of),G ((call_Enqueue_d1 & (!return_Dequeue_d1 U (call_Enqueue_d2 & (!return_Dequeue_d1 & !return_Dequeue_d2 U call_Bottom_Up)))) -> F (call_Bottom_Up & F (call_P_d2 & F call_P_d1))),"{call_Bottom_Up, call_Enqueue_d1, call_Enqueue_d2, call_P_d1, call_P_d2, return_Dequeue_d1, return_Dequeue_d2}"
An enqueue without subsequent dequeue can only be followed by (An enqueue followed by a call to empty without an intervening),G (call_Enqueue & (!return_Dequeue U call_Empty) -> F (call_Empty & F return_Empty_false)),"{call_Empty, call_Enqueue, return_Dequeue, return_Empty_false}"
Between an enqueue(d1) and empty(true) there must be a dequeue(d1),G ((call_Enqueue_d1 & F return_Empty_true) -> (!return_Empty_true U return_Dequeue_d1)),"{call_Enqueue_d1, return_Dequeue_d1, return_Empty_true}"
Between the time an elevator is called at a floor,G ((call & F open) -> ((!atfloor & !open) U (open | ((atfloor & !open) U (open | ((!atfloor & !open) U (open | ((atfloor & !open) U (open | (!atfloor U open)))))))))),"{atfloor, call, open}"
"When a connection is not made to the server, report an error (After OpeningNetworkConnection, an ErrorMessage will pop up in)",G (OpenNetworkConnection -> G (NetworkError -> F ErrorMessage)),"{ErrorMessage, NetworkError, OpenNetworkConnection}"
"When a connection is made to the POP server, mail will be (After PopServerConnected and before the mail is Placed)",G ((PopServerConnected & F PlacedinMailboxes) -> (!PlacedinMailboxes U MessagesTransfered)),"{MessagesTransfered, PlacedinMailboxes, PopServerConnected}"
"When a connection is made to the SMTP server, all queued (Before QueuedMailSent, SMTPServerConnected)",F QueuedMailSent -> (!QueuedMailSent U SMTPServerConnected),"{QueuedMailSent, SMTPServerConnected}"
"When the name of a mailbox is double-clicked, that (After MailboxSelected MailboxWindowOpen will exist)",G (!MailboxSelected) | F (MailboxSelected & F MailboxWindowOpen),"{MailboxSelected, MailboxWindowOpen}"
When a message has been created and the user is finished editing (After MessageReady MessageinOutbox will exist.),G (!MessageReady) | F (MessageReady & F MessageinOutbox),"{MessageReady, MessageinOutbox}"
"When the mouse is clicked on the line corresponding to a (After MessageDragged, MessageMoved will exist.)",G (!MessageDragged) | F (MessageDragged & F MessageMoved),"{MessageDragged, MessageMoved}"
A popup box that requires a response from the user will remain (ErrorPopup must be followed by ResponsetoPopup before more action.),G (Error -> G (ErrorPopup -> F ResponsetoPopup)),"{Error, ErrorPopup, ResponsetoPopup}"
All messages incoming from the POP server should be (MarkasUnread will occur after PlacedinMailboxes.),G (MessageTransferred -> G (PlacedinMailboxes -> F MarkasUnread)),"{MarkasUnread, MessageTransferred, PlacedinMailboxes}"
Messages should not be removed from the POP server until (POPServerMessageDelete after PlacedinMailboxes.),G (!POPServerMessageDelete) | F (POPServerMessageDelete & F PlacedinMailboxes),"{POPServerMessageDelete, PlacedinMailboxes}"
"No work will be scheduled before execution. (No ""doWork"" calls occur before the workers begin to ""Execute"".)",(F call_Execute) -> ((!call_doWork) U call_Execute),"{call_Execute, call_doWork}"
No work is scheduled after a termination. (Between the moment in which the an execution completes and),G ((return_Execute & (F call_Execute)) -> ((!call_doWork) U call_Execute)),"{call_Execute, call_doWork, return_Execute}"
Mutual exclusion in executing the result procedure. (While the ith Worker is performing result computations),G (call_doResults_i -> ((!call_doResults_j) U (return_doResults_i | G (!call_doResults_j)))),"{call_doResults_i, call_doResults_j, return_doResults_i}"
Mutual exclusion in executing the result procedure. (While the ith Worker is performing result computations),G ((call_doResults_i & F return_doResults_i) -> ((!call_doResults_j) U return_doResults_i)),"{call_doResults_i, call_doResults_j, return_doResults_i}"
Acquired locks are eventually released (If the ith worker succeeds in waiting on the result lock),G (return_resultlock_wait_i -> F call_resultlock_signal_i),"{call_resultlock_signal_i, return_resultlock_wait_i}"
