PROMPTTYPE,Index,Requirement,Ground Truth,Response,Equivalent
ADARULE,2,"Null is passed to the encoding layer by the data link layer whenever a link is not sending data or control symbols, to keep the link active and to support link disconnect detection.",G((! (sent_data & sent_control_symbol)) -> X(null_passed)),G(!(sent_data | sent_control_symbol) -> null_passed),False
ADARULE,2,"Null is passed to the encoding layer by the data link layer whenever a link is not sending data or control symbols, to keep the link active and to support link disconnect detection.",G((! (sent_data & sent_control_symbol)) -> X(null_passed)),G(!(sent_data | sent_control_symbol) -> null_passed),False
ADARULE,2,"Null is passed to the encoding layer by the data link layer whenever a link is not sending data or control symbols, to keep the link active and to support link disconnect detection.",G((! (sent_data & sent_control_symbol)) -> X(null_passed)),G(!(sent_data | sent_control_symbol) -> null_passed),False
ADARULE,2,"Null is passed to the encoding layer by the data link layer whenever a link is not sending data or control symbols, to keep the link active and to support link disconnect detection.",G((! (sent_data & sent_control_symbol)) -> X(null_passed)),G(!(sent_data | sent_control_symbol) -> null_passed),False
ADARULE,2,"Null is passed to the encoding layer by the data link layer whenever a link is not sending data or control symbols, to keep the link active and to support link disconnect detection.",G((! (sent_data & sent_control_symbol)) -> X(null_passed)),G(!(sent_data | sent_control_symbol) -> null_passed),False
ADARULE,2,"Null is passed to the encoding layer by the data link layer whenever a link is not sending data or control symbols, to keep the link active and to support link disconnect detection.",G((! (sent_data & sent_control_symbol)) -> X(null_passed)),G(!(sent_data | sent_control_symbol) -> null_passed),False
ADARULE,2,"Null is passed to the encoding layer by the data link layer whenever a link is not sending data or control symbols, to keep the link active and to support link disconnect detection.",G((! (sent_data & sent_control_symbol)) -> X(null_passed)),G(!(sent_data | sent_control_symbol) -> null_passed),False
ADARULE,2,"Null is passed to the encoding layer by the data link layer whenever a link is not sending data or control symbols, to keep the link active and to support link disconnect detection.",G((! (sent_data & sent_control_symbol)) -> X(null_passed)),G(!(sent_data | sent_control_symbol) -> null_passed),False
ADARULE,2,"Null is passed to the encoding layer by the data link layer whenever a link is not sending data or control symbols, to keep the link active and to support link disconnect detection.",G((! (sent_data & sent_control_symbol)) -> X(null_passed)),G(!(sent_data | sent_control_symbol) -> null_passed),False
ADARULE,2,"Null is passed to the encoding layer by the data link layer whenever a link is not sending data or control symbols, to keep the link active and to support link disconnect detection.",G((! (sent_data & sent_control_symbol)) -> X(null_passed)),G(!(sent_data | sent_control_symbol) -> null_passed),False
ADARULE,2,"Null is passed to the encoding layer by the data link layer whenever a link is not sending data or control symbols, to keep the link active and to support link disconnect detection.",G((! (sent_data & sent_control_symbol)) -> X(null_passed)),G(!(sent_data | sent_control_symbol) -> null_passed),False
ADARULE,2,"Null is passed to the encoding layer by the data link layer whenever a link is not sending data or control symbols, to keep the link active and to support link disconnect detection.",G((! (sent_data & sent_control_symbol)) -> X(null_passed)),G(!(sent_data | sent_control_symbol) -> null_passed),False
ADARULE,2,"Null is passed to the encoding layer by the data link layer whenever a link is not sending data or control symbols, to keep the link active and to support link disconnect detection.",G((! (sent_data & sent_control_symbol)) -> X(null_passed)),G((!sent_data & !sent_control_symbol) -> null_passed),False
ADARULE,2,"Null is passed to the encoding layer by the data link layer whenever a link is not sending data or control symbols, to keep the link active and to support link disconnect detection.",G((! (sent_data & sent_control_symbol)) -> X(null_passed)),G(!(sent_data | sent_control_symbol) -> null_passed),False
ADARULE,2,"Null is passed to the encoding layer by the data link layer whenever a link is not sending data or control symbols, to keep the link active and to support link disconnect detection.",G((! (sent_data & sent_control_symbol)) -> X(null_passed)),G(!(sent_data | sent_control_symbol) -> null_passed),False
ADARULE,2,"Null is passed to the encoding layer by the data link layer whenever a link is not sending data or control symbols, to keep the link active and to support link disconnect detection.",G((! (sent_data & sent_control_symbol)) -> X(null_passed)),G(!(sent_data | sent_control_symbol) -> null_passed),False
ADARULE,2,"Null is passed to the encoding layer by the data link layer whenever a link is not sending data or control symbols, to keep the link active and to support link disconnect detection.",G((! (sent_data & sent_control_symbol)) -> X(null_passed)),G(!(sent_data | sent_control_symbol) -> null_passed),False
ADARULE,2,"Null is passed to the encoding layer by the data link layer whenever a link is not sending data or control symbols, to keep the link active and to support link disconnect detection.",G((! (sent_data & sent_control_symbol)) -> X(null_passed)),G(!(sent_data | sent_control_symbol) -> null_passed),False
ADARULE,2,"Null is passed to the encoding layer by the data link layer whenever a link is not sending data or control symbols, to keep the link active and to support link disconnect detection.",G((! (sent_data & sent_control_symbol)) -> X(null_passed)),G(!(sent_data | sent_control_symbol) -> null_passed),False
ADARULE,2,"Null is passed to the encoding layer by the data link layer whenever a link is not sending data or control symbols, to keep the link active and to support link disconnect detection.",G((! (sent_data & sent_control_symbol)) -> X(null_passed)),G(!(sent_data | sent_control_symbol) -> null_passed),False
ADARULE,2,"Null is passed to the encoding layer by the data link layer whenever a link is not sending data or control symbols, to keep the link active and to support link disconnect detection.",G((! (sent_data & sent_control_symbol)) -> X(null_passed)),G(!(sent_data | sent_control_symbol) -> null_passed),False
ADARULE,2,"Null is passed to the encoding layer by the data link layer whenever a link is not sending data or control symbols, to keep the link active and to support link disconnect detection.",G((! (sent_data & sent_control_symbol)) -> X(null_passed)),G(!(sent_data | sent_control_symbol) -> null_passed),False
ADARULE,2,"Null is passed to the encoding layer by the data link layer whenever a link is not sending data or control symbols, to keep the link active and to support link disconnect detection.",G((! (sent_data & sent_control_symbol)) -> X(null_passed)),G((!sent_data & !sent_control_symbol) -> null_passed),False
ADARULE,2,"Null is passed to the encoding layer by the data link layer whenever a link is not sending data or control symbols, to keep the link active and to support link disconnect detection.",G((! (sent_data & sent_control_symbol)) -> X(null_passed)),G(!(sent_data | sent_control_symbol) -> null_passed),False
ADARULE,2,"Null is passed to the encoding layer by the data link layer whenever a link is not sending data or control symbols, to keep the link active and to support link disconnect detection.",G((! (sent_data & sent_control_symbol)) -> X(null_passed)),G(!(sent_data | sent_control_symbol) -> null_passed),False
ADARULE,2,"Null is passed to the encoding layer by the data link layer whenever a link is not sending data or control symbols, to keep the link active and to support link disconnect detection.",G((! (sent_data & sent_control_symbol)) -> X(null_passed)),G(!(sent_data | sent_control_symbol) -> null_passed),False
ADARULE,2,"Null is passed to the encoding layer by the data link layer whenever a link is not sending data or control symbols, to keep the link active and to support link disconnect detection.",G((! (sent_data & sent_control_symbol)) -> X(null_passed)),G(!(sent_data | sent_control_symbol) -> null_passed),False
ADARULE,2,"Null is passed to the encoding layer by the data link layer whenever a link is not sending data or control symbols, to keep the link active and to support link disconnect detection.",G((! (sent_data & sent_control_symbol)) -> X(null_passed)),G(!(sent_data | sent_control_symbol) -> null_passed),False
ADARULE,2,"Null is passed to the encoding layer by the data link layer whenever a link is not sending data or control symbols, to keep the link active and to support link disconnect detection.",G((! (sent_data & sent_control_symbol)) -> X(null_passed)),G(!(sent_data | sent_control_symbol) -> null_passed),False
ADARULE,2,"Null is passed to the encoding layer by the data link layer whenever a link is not sending data or control symbols, to keep the link active and to support link disconnect detection.",G((! (sent_data & sent_control_symbol)) -> X(null_passed)),G((!sent_data & !sent_control_symbol) -> null_passed),False
ADARULE,2,"Null is passed to the encoding layer by the data link layer whenever a link is not sending data or control symbols, to keep the link active and to support link disconnect detection.",G((! (sent_data & sent_control_symbol)) -> X(null_passed)),G(!(sent_data | sent_control_symbol) -> null_passed),False
ADARULE,2,"Null is passed to the encoding layer by the data link layer whenever a link is not sending data or control symbols, to keep the link active and to support link disconnect detection.",G((! (sent_data & sent_control_symbol)) -> X(null_passed)),G(!(sent_data | sent_control_symbol) -> null_passed),False
ADARULE,2,"Null is passed to the encoding layer by the data link layer whenever a link is not sending data or control symbols, to keep the link active and to support link disconnect detection.",G((! (sent_data & sent_control_symbol)) -> X(null_passed)),G((!sent_data & !sent_control_symbol) -> null_passed),False
ADARULE,2,"Null is passed to the encoding layer by the data link layer whenever a link is not sending data or control symbols, to keep the link active and to support link disconnect detection.",G((! (sent_data & sent_control_symbol)) -> X(null_passed)),G(!(sent_data | sent_control_symbol) -> null_passed),False
ADARULE,2,"Null is passed to the encoding layer by the data link layer whenever a link is not sending data or control symbols, to keep the link active and to support link disconnect detection.",G((! (sent_data & sent_control_symbol)) -> X(null_passed)),G(!sent_data & !sent_control_symbol -> null_passed),False
ADARULE,2,"Null is passed to the encoding layer by the data link layer whenever a link is not sending data or control symbols, to keep the link active and to support link disconnect detection.",G((! (sent_data & sent_control_symbol)) -> X(null_passed)),G(!(sent_data | sent_control_symbol) -> null_passed),False
