PROMPTTYPE,Index,Requirement,Ground Truth,Response,Equivalent
BASIC,23,at the green_room through the red or blue_room,F((blue_room | red_room) & F green_room),green_room -> (red_room | blue_room),False
BASIC,23,at the green_room through the red or blue_room,F((blue_room | red_room) & F green_room),F (green_room & (red_room | blue_room)),False
BASIC,23,at the green_room through the red or blue_room,F((blue_room | red_room) & F green_room),F (green_room & (red_room | blue_room)),False
BASIC,23,at the green_room through the red or blue_room,F((blue_room | red_room) & F green_room),green_room -> (red_room | blue_room),False
BASIC,23,at the green_room through the red or blue_room,F((blue_room | red_room) & F green_room),green_room -> (red_room | blue_room),False
BASIC,23,at the green_room through the red or blue_room,F((blue_room | red_room) & F green_room),green_room -> (red_room | blue_room),False
BASIC,23,at the green_room through the red or blue_room,F((blue_room | red_room) & F green_room),green_room -> (red_room | blue_room),False
BASIC,23,at the green_room through the red or blue_room,F((blue_room | red_room) & F green_room),green_room -> (red_room | blue_room),False
BASIC,23,at the green_room through the red or blue_room,F((blue_room | red_room) & F green_room),green_room -> (red_room | blue_room),False
BASIC,23,at the green_room through the red or blue_room,F((blue_room | red_room) & F green_room),green_room -> (red_room | blue_room),False
BASIC,23,at the green_room through the red or blue_room,F((blue_room | red_room) & F green_room),green_room -> (red_room | blue_room),False
BASIC,23,at the green_room through the red or blue_room,F((blue_room | red_room) & F green_room),green_room -> (red_room | blue_room),False
BASIC,23,at the green_room through the red or blue_room,F((blue_room | red_room) & F green_room),green_room -> (red_room | blue_room),False
BASIC,23,at the green_room through the red or blue_room,F((blue_room | red_room) & F green_room),F (green_room & (red_room | blue_room)),False
BASIC,23,at the green_room through the red or blue_room,F((blue_room | red_room) & F green_room),F (green_room & (red_room | blue_room)),False
BASIC,23,at the green_room through the red or blue_room,F((blue_room | red_room) & F green_room),green_room -> (red_room | blue_room),False
BASIC,23,at the green_room through the red or blue_room,F((blue_room | red_room) & F green_room),green_room -> (red_room | blue_room),False
BASIC,23,at the green_room through the red or blue_room,F((blue_room | red_room) & F green_room),green_room -> (red_room | blue_room),False
BASIC,23,at the green_room through the red or blue_room,F((blue_room | red_room) & F green_room),G (green_room -> F (red_room | blue_room)),False
BASIC,23,at the green_room through the red or blue_room,F((blue_room | red_room) & F green_room),green_room -> (red_room | blue_room),False
BASIC,23,at the green_room through the red or blue_room,F((blue_room | red_room) & F green_room),green_room -> (red_room | blue_room),False
BASIC,23,at the green_room through the red or blue_room,F((blue_room | red_room) & F green_room),green_room -> (red_room | blue_room),False
BASIC,23,at the green_room through the red or blue_room,F((blue_room | red_room) & F green_room),green_room -> (red_room | blue_room),False
BASIC,23,at the green_room through the red or blue_room,F((blue_room | red_room) & F green_room),green_room -> (red_room | blue_room),False
BASIC,23,at the green_room through the red or blue_room,F((blue_room | red_room) & F green_room),green_room -> (red_room | blue_room),False
BASIC,23,at the green_room through the red or blue_room,F((blue_room | red_room) & F green_room),green_room -> (red_room | blue_room),False
BASIC,23,at the green_room through the red or blue_room,F((blue_room | red_room) & F green_room),F (green_room & (red_room | blue_room)),False
BASIC,23,at the green_room through the red or blue_room,F((blue_room | red_room) & F green_room),green_room -> (red_room | blue_room),False
BASIC,23,at the green_room through the red or blue_room,F((blue_room | red_room) & F green_room),green_room -> (red_room | blue_room),False
BASIC,23,at the green_room through the red or blue_room,F((blue_room | red_room) & F green_room),F (green_room & (red_room | blue_room)),False
BASIC,23,at the green_room through the red or blue_room,F((blue_room | red_room) & F green_room),green_room -> (red_room | blue_room),False
BASIC,23,at the green_room through the red or blue_room,F((blue_room | red_room) & F green_room),green_room -> (red_room | blue_room),False
BASIC,23,at the green_room through the red or blue_room,F((blue_room | red_room) & F green_room),green_room -> (red_room | blue_room),False
BASIC,23,at the green_room through the red or blue_room,F((blue_room | red_room) & F green_room),green_room -> (red_room | blue_room),False
BASIC,23,at the green_room through the red or blue_room,F((blue_room | red_room) & F green_room),green_room -> (red_room | blue_room),False
BASIC,23,at the green_room through the red or blue_room,F((blue_room | red_room) & F green_room),G (green_room -> F (red_room | blue_room)),False
BASIC,23,at the green_room through the red or blue_room,F((blue_room | red_room) & F green_room),F (green_room & (red_room | blue_room)),False
BASIC,23,at the green_room through the red or blue_room,F((blue_room | red_room) & F green_room),green_room -> (red_room | blue_room),False
BASIC,23,at the green_room through the red or blue_room,F((blue_room | red_room) & F green_room),green_room -> (red_room | blue_room),False
BASIC,23,at the green_room through the red or blue_room,F((blue_room | red_room) & F green_room),green_room -> (red_room | blue_room),False
BASIC,23,at the green_room through the red or blue_room,F((blue_room | red_room) & F green_room),green_room -> (red_room | blue_room),False
BASIC,23,at the green_room through the red or blue_room,F((blue_room | red_room) & F green_room),green_room -> (red_room | blue_room),False
BASIC,23,at the green_room through the red or blue_room,F((blue_room | red_room) & F green_room),green_room -> (red_room | blue_room),False
BASIC,23,at the green_room through the red or blue_room,F((blue_room | red_room) & F green_room),green_room -> (red_room | blue_room),False
BASIC,23,at the green_room through the red or blue_room,F((blue_room | red_room) & F green_room),green_room -> (red_room | blue_room),False
BASIC,23,at the green_room through the red or blue_room,F((blue_room | red_room) & F green_room),F (green_room & (red_room | blue_room)),False
BASIC,23,at the green_room through the red or blue_room,F((blue_room | red_room) & F green_room),green_room -> (red_room | blue_room),False
BASIC,23,at the green_room through the red or blue_room,F((blue_room | red_room) & F green_room),F (green_room & (red_room | blue_room)),False
BASIC,23,at the green_room through the red or blue_room,F((blue_room | red_room) & F green_room),green_room -> (red_room | blue_room),False
BASIC,23,at the green_room through the red or blue_room,F((blue_room | red_room) & F green_room),F (green_room & (red_room | blue_room)),False
BASIC,23,at the green_room through the red or blue_room,F((blue_room | red_room) & F green_room),green_room -> (red_room | blue_room),False
BASIC,23,at the green_room through the red or blue_room,F((blue_room | red_room) & F green_room),green_room -> (red_room | blue_room),False
BASIC,23,at the green_room through the red or blue_room,F((blue_room | red_room) & F green_room),green_room -> (red_room | blue_room),False
BASIC,23,at the green_room through the red or blue_room,F((blue_room | red_room) & F green_room),green_room -> (red_room | blue_room),False
BASIC,23,at the green_room through the red or blue_room,F((blue_room | red_room) & F green_room),green_room -> (red_room | blue_room),False
BASIC,23,at the green_room through the red or blue_room,F((blue_room | red_room) & F green_room),green_room -> (red_room | blue_room),False
BASIC,23,at the green_room through the red or blue_room,F((blue_room | red_room) & F green_room),green_room -> (red_room | blue_room),False
BASIC,23,at the green_room through the red or blue_room,F((blue_room | red_room) & F green_room),G (green_room -> F (red_room | blue_room)),False
BASIC,23,at the green_room through the red or blue_room,F((blue_room | red_room) & F green_room),green_room -> (red_room | blue_room),False
BASIC,23,at the green_room through the red or blue_room,F((blue_room | red_room) & F green_room),green_room -> (red_room | blue_room),False
BASIC,23,at the green_room through the red or blue_room,F((blue_room | red_room) & F green_room),green_room -> (red_room | blue_room),False
BASIC,23,at the green_room through the red or blue_room,F((blue_room | red_room) & F green_room),green_room -> (red_room | blue_room),False
BASIC,23,at the green_room through the red or blue_room,F((blue_room | red_room) & F green_room),green_room -> (red_room | blue_room),False
BASIC,23,at the green_room through the red or blue_room,F((blue_room | red_room) & F green_room),green_room -> (red_room | blue_room),False
BASIC,23,at the green_room through the red or blue_room,F((blue_room | red_room) & F green_room),green_room -> (red_room | blue_room),False
BASIC,23,at the green_room through the red or blue_room,F((blue_room | red_room) & F green_room),green_room -> (red_room | blue_room),False
BASIC,23,at the green_room through the red or blue_room,F((blue_room | red_room) & F green_room),green_room -> (red_room | blue_room),False
BASIC,23,at the green_room through the red or blue_room,F((blue_room | red_room) & F green_room),green_room -> (red_room | blue_room),False
BASIC,23,at the green_room through the red or blue_room,F((blue_room | red_room) & F green_room),green_room -> (red_room | blue_room),False
BASIC,23,at the green_room through the red or blue_room,F((blue_room | red_room) & F green_room),green_room -> (red_room | blue_room),False
BASIC,23,at the green_room through the red or blue_room,F((blue_room | red_room) & F green_room),green_room -> (red_room | blue_room),False
BASIC,23,at the green_room through the red or blue_room,F((blue_room | red_room) & F green_room),green_room -> (red_room | blue_room),False
BASIC,23,at the green_room through the red or blue_room,F((blue_room | red_room) & F green_room),green_room -> (red_room | blue_room),False
BASIC,23,at the green_room through the red or blue_room,F((blue_room | red_room) & F green_room),green_room -> (red_room | blue_room),False
BASIC,23,at the green_room through the red or blue_room,F((blue_room | red_room) & F green_room),green_room -> (red_room | blue_room),False
BASIC,23,at the green_room through the red or blue_room,F((blue_room | red_room) & F green_room),G (green_room -> F (red_room | blue_room)),False
BASIC,23,at the green_room through the red or blue_room,F((blue_room | red_room) & F green_room),green_room -> (red_room | blue_room),False
BASIC,23,at the green_room through the red or blue_room,F((blue_room | red_room) & F green_room),green_room -> (red_room | blue_room),False
BASIC,23,at the green_room through the red or blue_room,F((blue_room | red_room) & F green_room),G (green_room -> F (red_room | blue_room)),False
BASIC,23,at the green_room through the red or blue_room,F((blue_room | red_room) & F green_room),G (green_room -> F (red_room | blue_room)),False
BASIC,23,at the green_room through the red or blue_room,F((blue_room | red_room) & F green_room),green_room -> (red_room | blue_room),False
BASIC,23,at the green_room through the red or blue_room,F((blue_room | red_room) & F green_room),green_room -> (red_room | blue_room),False
BASIC,23,at the green_room through the red or blue_room,F((blue_room | red_room) & F green_room),green_room -> (red_room | blue_room),False
BASIC,23,at the green_room through the red or blue_room,F((blue_room | red_room) & F green_room),green_room -> (red_room | blue_room),False
BASIC,23,at the green_room through the red or blue_room,F((blue_room | red_room) & F green_room),G (green_room -> F (red_room | blue_room)),False
BASIC,23,at the green_room through the red or blue_room,F((blue_room | red_room) & F green_room),green_room -> (red_room | blue_room),False
BASIC,23,at the green_room through the red or blue_room,F((blue_room | red_room) & F green_room),green_room -> (red_room | blue_room),False
BASIC,23,at the green_room through the red or blue_room,F((blue_room | red_room) & F green_room),green_room -> (red_room | blue_room),False
BASIC,23,at the green_room through the red or blue_room,F((blue_room | red_room) & F green_room),green_room -> (red_room | blue_room),False
BASIC,23,at the green_room through the red or blue_room,F((blue_room | red_room) & F green_room),G (green_room -> F (red_room | blue_room)),False
BASIC,23,at the green_room through the red or blue_room,F((blue_room | red_room) & F green_room),green_room -> (red_room | blue_room),False
BASIC,23,at the green_room through the red or blue_room,F((blue_room | red_room) & F green_room),green_room -> (red_room | blue_room),False
BASIC,23,at the green_room through the red or blue_room,F((blue_room | red_room) & F green_room),green_room -> (red_room | blue_room),False
BASIC,23,at the green_room through the red or blue_room,F((blue_room | red_room) & F green_room),green_room -> (red_room | blue_room),False
BASIC,23,at the green_room through the red or blue_room,F((blue_room | red_room) & F green_room),G (green_room -> F (red_room | blue_room)),False
BASIC,23,at the green_room through the red or blue_room,F((blue_room | red_room) & F green_room),green_room -> (red_room | blue_room),False
BASIC,23,at the green_room through the red or blue_room,F((blue_room | red_room) & F green_room),green_room -> (red_room | blue_room),False
BASIC,23,at the green_room through the red or blue_room,F((blue_room | red_room) & F green_room),G (green_room -> F (red_room | blue_room)),False
BASIC,23,at the green_room through the red or blue_room,F((blue_room | red_room) & F green_room),F (green_room & (red_room | blue_room)),False
BASIC,23,at the green_room through the red or blue_room,F((blue_room | red_room) & F green_room),G (green_room -> F (red_room | blue_room)),False
BASIC,68,Refrain from going to room 2 until you pick up bottle 4 from kitchen 1 and place it on table 4,!room_2 U (kitchen_1 & F(p_bottle_4 & F(pd & table_4))),G(!room_2 U (p_bottle_4 & table_4)),False
BASIC,68,Refrain from going to room 2 until you pick up bottle 4 from kitchen 1 and place it on table 4,!room_2 U (kitchen_1 & F(p_bottle_4 & F(pd & table_4))),G(!room_2 U (p_bottle_4 & table_4)),False
BASIC,68,Refrain from going to room 2 until you pick up bottle 4 from kitchen 1 and place it on table 4,!room_2 U (kitchen_1 & F(p_bottle_4 & F(pd & table_4))),G(!room_2 U (p_bottle_4 & table_4)),False
BASIC,68,Refrain from going to room 2 until you pick up bottle 4 from kitchen 1 and place it on table 4,!room_2 U (kitchen_1 & F(p_bottle_4 & F(pd & table_4))),G(!room_2 U (p_bottle_4 & table_4)),False
BASIC,68,Refrain from going to room 2 until you pick up bottle 4 from kitchen 1 and place it on table 4,!room_2 U (kitchen_1 & F(p_bottle_4 & F(pd & table_4))),G(!room_2 U (p_bottle_4 & kitchen_1 & table_4)),False
BASIC,68,Refrain from going to room 2 until you pick up bottle 4 from kitchen 1 and place it on table 4,!room_2 U (kitchen_1 & F(p_bottle_4 & F(pd & table_4))),G(!room_2 U (p_bottle_4 & kitchen_1 & table_4)),False
BASIC,68,Refrain from going to room 2 until you pick up bottle 4 from kitchen 1 and place it on table 4,!room_2 U (kitchen_1 & F(p_bottle_4 & F(pd & table_4))),G(!room_2 U (p_bottle_4 & table_4)),False
BASIC,68,Refrain from going to room 2 until you pick up bottle 4 from kitchen 1 and place it on table 4,!room_2 U (kitchen_1 & F(p_bottle_4 & F(pd & table_4))),G(!room_2 U (p_bottle_4 & table_4)),False
BASIC,68,Refrain from going to room 2 until you pick up bottle 4 from kitchen 1 and place it on table 4,!room_2 U (kitchen_1 & F(p_bottle_4 & F(pd & table_4))),G(!room_2 U (p_bottle_4 & table_4)),False
BASIC,68,Refrain from going to room 2 until you pick up bottle 4 from kitchen 1 and place it on table 4,!room_2 U (kitchen_1 & F(p_bottle_4 & F(pd & table_4))),G(!room_2 U (p_bottle_4 & table_4)),False
BASIC,68,Refrain from going to room 2 until you pick up bottle 4 from kitchen 1 and place it on table 4,!room_2 U (kitchen_1 & F(p_bottle_4 & F(pd & table_4))),G(!room_2 U (p_bottle_4 & table_4)),False
BASIC,68,Refrain from going to room 2 until you pick up bottle 4 from kitchen 1 and place it on table 4,!room_2 U (kitchen_1 & F(p_bottle_4 & F(pd & table_4))),G(!room_2 U (p_bottle_4 & table_4)),False
BASIC,68,Refrain from going to room 2 until you pick up bottle 4 from kitchen 1 and place it on table 4,!room_2 U (kitchen_1 & F(p_bottle_4 & F(pd & table_4))),G(!room_2 U (p_bottle_4 & table_4)),False
BASIC,68,Refrain from going to room 2 until you pick up bottle 4 from kitchen 1 and place it on table 4,!room_2 U (kitchen_1 & F(p_bottle_4 & F(pd & table_4))),G(!room_2 U (p_bottle_4 & table_4)),False
BASIC,68,Refrain from going to room 2 until you pick up bottle 4 from kitchen 1 and place it on table 4,!room_2 U (kitchen_1 & F(p_bottle_4 & F(pd & table_4))),G(!room_2 U (p_bottle_4 & table_4)),False
BASIC,68,Refrain from going to room 2 until you pick up bottle 4 from kitchen 1 and place it on table 4,!room_2 U (kitchen_1 & F(p_bottle_4 & F(pd & table_4))),G(!room_2 U (p_bottle_4 & table_4)),False
BASIC,68,Refrain from going to room 2 until you pick up bottle 4 from kitchen 1 and place it on table 4,!room_2 U (kitchen_1 & F(p_bottle_4 & F(pd & table_4))),G(!room_2 U (p_bottle_4 & table_4)),False
BASIC,68,Refrain from going to room 2 until you pick up bottle 4 from kitchen 1 and place it on table 4,!room_2 U (kitchen_1 & F(p_bottle_4 & F(pd & table_4))),G(!room_2 U (p_bottle_4 & kitchen_1 & table_4)),False
BASIC,68,Refrain from going to room 2 until you pick up bottle 4 from kitchen 1 and place it on table 4,!room_2 U (kitchen_1 & F(p_bottle_4 & F(pd & table_4))),G(!room_2 U (p_bottle_4 & table_4)),False
BASIC,68,Refrain from going to room 2 until you pick up bottle 4 from kitchen 1 and place it on table 4,!room_2 U (kitchen_1 & F(p_bottle_4 & F(pd & table_4))),G(!room_2 U (p_bottle_4 & table_4)),False
BASIC,68,Refrain from going to room 2 until you pick up bottle 4 from kitchen 1 and place it on table 4,!room_2 U (kitchen_1 & F(p_bottle_4 & F(pd & table_4))),G(!room_2 U (p_bottle_4 & table_4)),False
BASIC,68,Refrain from going to room 2 until you pick up bottle 4 from kitchen 1 and place it on table 4,!room_2 U (kitchen_1 & F(p_bottle_4 & F(pd & table_4))),G(!room_2 U (p_bottle_4 & table_4)),False
