Index,Requirement,Ground Truth,Response,Equivalent
9859,In the event that ( prop_1 ) or ( prop_2 ) then in response at sometime in the future before the end of the execution the transition action that ( prop_3 ) needs to eventually happen .,G((prop_1 | prop_2) -> F prop_3),G((prop_1 | prop_2) -> F prop_3),True
9860,"every time both the train derails and the escalator moves then finally, a train has arrived",G((escalator_moves & train_derails) -> F train_has_arrived),G((train_derails & escalator_moves) -> F train_has_arrived),True
9861,"if ( prop_1 ) , never ( prop_2 )",prop_1 -> G!prop_2,G(prop_1 -> G(!prop_2)),False
9862,In case that ( prop_2 ) and ( prop_1 ) happens and continue to happen until ( prop_4 ) or else ( prop_3 ) .,prop_3 | ((prop_1 & prop_2) U prop_4),(prop_2 & prop_1) -> ((prop_2 & prop_1) U (prop_4 | prop_3)),False
9863,repeatedly go_to pear or at some time obtain apple,GF go_to_pear | F obtain_apple,GF(go_to_pear) | F(obtain_apple),True
9864,"when walk , pick_up orange",walk -> pick_up_orange,G(walk -> pick_up_orange),False
9865,"after both the manager handles requests and the bar is down, in the future the elevator is blocked or a constructor creates instances",G((bar_is_down & manager_handles_requests) -> F(constructor_creates_instances | elevator_is_blocked)),F((manager_handles_requests & bar_is_down) & F(elevator_is_blocked | constructor_creates_instances)),False
9866,at any time ( prop_1 ) and when possible ( prop_2 ),F(prop_1 & F prop_2),G(prop_1) & F(prop_2),False
9867,"When get_help happens, photo the jaywalker on northwest_9th_avenue must hold now or in the next step.",G(get_help -> (photo_jaywalker_northwest_9th_avenue | X photo_jaywalker_northwest_9th_avenue)),G(get_help -> (photo_jaywalker_northwest_9th_avenue | X photo_jaywalker_northwest_9th_avenue)),True
9868,"Always eventually visit charger_1, and eventually you at house_4 to get box_4 and at house_9 and put it down",GF charger_1 & F(house_4 & F(box_4 & F(house_9 & pd))),GF charger_1 & F (house_4 & box_4 & F (house_9 & pd)),False
9869,"first, in the future the engine stops or a train is crossing, and then, sooner or later a bridge closes",G!(engine_stops | train_is_crossing) | F((engine_stops | train_is_crossing) & F bridge_closes),F(engine_stops | train_is_crossing) & F(F(bridge_closes)),False
9870,"whenever a motorbike falls down and a table has been moved then always, either the bar is down or the sensor retrieves data",G((motorbike_falls_down & table_has_been_moved) -> G(bar_is_down | sensor_retrieves_data)),G((motorbike_falls_down & table_has_been_moved) -> G(bar_is_down | sensor_retrieves_data)),True
9871,"Do not enter building 3 until you arrive at garage 3, and once there, remain in building 3",(!building_3 U garage_3) & FG building_3,(!building_3 U garage_3) & G(garage_3 -> G building_3),False
9872,if both the table is old and the constructor creates instances then sooner or later either the car stops or the escalator is blocked,G((constructor_creates_instances & table_is_old) -> F(car_stops | escalator_is_blocked)),(table_is_old & constructor_creates_instances) -> F(car_stops | escalator_is_blocked),False
9873,"Look for the toothbrush must keep holding until, from some point on, get_help holds infinitely often.",search_toothbrush U GF get_help,search_toothbrush U G F get_help,True
9874,"If at some point (prop_1) is equivalent to (prop_3), then (prop_2) should not happen .",(prop_1 <-> prop_3) -> !prop_2,F(prop_1 <-> prop_3) -> G(!prop_2),False
9875,whenever ( prop_1 ) or repeatedly ( prop_2 ),F(prop_1 | GF prop_2),G(prop_1 | G prop_2),False
9876,"Either ( prop_4 ) or ( prop_2 ) should happen, or ( prop_1 ) or ( prop_3 ) should happen.",prop_1 | prop_2 | prop_3 | prop_4,(prop_4 | prop_2) | (prop_1 | prop_3),True
9877,Staying in parking lot 9 at all times,G parking_lot_9,G parking_lot_9,True
9878,( prop_1 ) or when possible ( prop_2 ),prop_1 | F prop_2,prop_1 | F prop_2,True
9879,at some time advance_to house and hold pear,hold_pear & F advance_to_house,F(advance_to_house & hold_pear),False
9880,During the interval that ( prop_2 ) then the following condition is true : ( prop_3 ) or at the same time instant the event that ( prop_1 ) ought to get observed .,G(prop_2 -> (prop_1 | prop_3)),G(prop_2 -> (prop_3 | prop_1)),True
9881,never let_go and when possible touch tree,G!let_go & F touch_tree,G(!let_go) & F(touch_tree),True
9882,take_to trashcan or do not let_go orange,!let_go_orange | take_to_trashcan,take_to_trashcan | !let_go_orange,True
9883,It is always the case that ( prop_1 ) then the following condition is true : consecutively ( prop_2 ) .,G(prop_1 -> G prop_2),G(prop_1 -> X prop_2),False
9884,at no time the bar has to be repaired and together a train has arrived and the escalator speeds up,G!(bar_has_to_be_repaired & escalator_speeds_up & train_has_arrived),G(!(bar_has_to_be_repaired & train_has_arrived & escalator_speeds_up)),True
