original NL;original LTL;Spot LTL;APs;ap_NL;dict_AP;AP_lifted_dict;lifted_LTL;source;normalized_LTL_formula;lifted_lifted_LTL_formula;batch_id
keep apple until drop pear;"""keep(apple)"" U ""drop(pear)""";keep_apple U drop_pear;['drop_pear', 'keep_apple'];;;;ap_1 U ap_0;VLTL-Bench;prop U prop;prop U prop;0
after the train has arrived, finally, either a semaphore is red or the escalator speeds up;G(( train_has_arrived ) -> F( semaphore_is_red | escalator_speeds_up ));G(train_has_arrived -> F(escalator_speeds_up | semaphore_is_red));['semaphore_is_red', 'escalator_speeds_up', 'train_has_arrived'];after the train_has_arrived, finally, either a semaphore_is_red or the escalator_speeds_up;;{'semaphore_is_red': 'ap_0', 'escalator_speeds_up': 'ap_1', 'train_has_arrived': 'ap_2'};G(ap_2 -> F(ap_1 | ap_0));NL-to-LTL-Synthetic-Datasetprocessed_data;G(prop -> F(prop | prop));G(prop -> F(prop | prop));0
at some time go_by waste basket or never drop apple;"F ( ""go_by(waste_basket)"" ) | G ( ! ( ""drop(apple)"" ) )";F go_by_waste_basket | G!drop_apple;['drop_apple', 'go_by_waste_basket'];;;;Fap_1 | G!ap_0;VLTL-Bench;Fprop | G!prop;Fprop | G!prop;0
first, at some point the bridge closes, and then, at some point both the car starts and a semaphore is red;G(!( bridge_closes )) | F(( bridge_closes ) & F( car_starts & semaphore_is_red ));G!bridge_closes | F(bridge_closes & F(car_starts & semaphore_is_red));['car_starts', 'semaphore_is_red', 'bridge_closes'];first, at some point the bridge_closes, and then, at some point both the car_starts and a semaphore_is_red;;{'car_starts': 'ap_0', 'semaphore_is_red': 'ap_1', 'bridge_closes': 'ap_2'};G!ap_2 | F(ap_2 & F(ap_0 & ap_1));NL-to-LTL-Synthetic-Datasetprocessed_data;G!prop | F(prop & F(prop & prop));G!prop | F(prop & F(prop & prop));0
Ensure you always stay within locality 9;[]locality_9;G locality_9;['locality_9'];Ensure you always stay within locality_9;{'locality 9': 'locality_9'};{'locality_9': 'ap_0'};Gap_0;ConformalNL2LTL;Gprop;Gprop;0
after the bar is down or a sensor retrieves data, in any case the motorbike falls down or a house collapses;G(( bar_is_down | sensor_retrieves_data ) -> G( motorbike_falls_down | house_collapses ));G((bar_is_down | sensor_retrieves_data) -> G(house_collapses | motorbike_falls_down));['motorbike_falls_down', 'house_collapses', 'sensor_retrieves_data', 'bar_is_down'];after the bar_is_down or a sensor_retrieves_data, in any case the motorbike_falls_down or a house_collapses;;{'motorbike_falls_down': 'ap_0', 'house_collapses': 'ap_1', 'sensor_retrieves_data': 'ap_2', 'bar_is_down': 'ap_3'};G((ap_3 | ap_2) -> G(ap_1 | ap_0));NL-to-LTL-Synthetic-Datasetprocessed_data;G((prop | prop) -> G(prop | prop));G((prop | prop) -> G(prop | prop));0
Persistently take pictures of street 3;[]<>(street_3&&photo);GF(photo & street_3);['photo', 'street_3'];Persistently take pictures of street_3;{'photo': 'photo', 'street 3': 'street_3'};{'photo': 'ap_0', 'street_3': 'ap_1'};GF(ap_0 & ap_1);ConformalNL2LTL;GF(prop & prop);GF(prop & prop);0
go through the yellow or red_room to the blue_room;"F ( ( ""red_room"" | ""yellow_room"" ) & F ""blue_room"" )";F((red_room | yellow_room) & F blue_room);['blue_room', 'yellow_room', 'red_room'];;;;F((ap_2 | ap_1) & Fap_0);VLTL-Bench;F((prop | prop) & Fprop);F((prop | prop) & Fprop);0
Ensure you repeatedly visit charger_5 while continuously taking pictures of region_4;"G F ""charger_5"" & G F ( ""region_4"" & ""photo"" )";GF charger_5 & GF(photo & region_4);['photo', 'charger_5', 'region_4'];;;;GFap_1 & GF(ap_0 & ap_2);VLTL-Bench;GFprop & GF(prop & prop);GFprop & GF(prop & prop);0
do not let_go orange and at some time grab flag;"! ( ""let_go(orange)"" ) & F ( ""grab(flag)"" )";!let_go_orange & F grab_flag;['grab_flag', 'let_go_orange'];;;;!ap_1 & Fap_0;VLTL-Bench;!prop & Fprop;!prop & Fprop;0
