PROMPTTYPE,Index,Requirement,Ground Truth,Response,Equivalent
ARTEMIS,0,"If get_help ever holds, avoid the impending_gas_leak must have held beforehand.",F get_help -> (!get_help U (avoid_impending_gas_leak & !get_help)),G(get_help -> (F avoid_impending_gas_leak V get_help)),False
ARTEMIS,0,"If get_help ever holds, avoid the impending_gas_leak must have held beforehand.",F get_help -> (!get_help U (avoid_impending_gas_leak & !get_help)),G(get_help -> (F avoid_impending_gas_leak V get_help)),False
ARTEMIS,0,"If get_help ever holds, avoid the impending_gas_leak must have held beforehand.",F get_help -> (!get_help U (avoid_impending_gas_leak & !get_help)),G(get_help -> (avoid_impending_gas_leak V get_help)),False
ARTEMIS,0,"If get_help ever holds, avoid the impending_gas_leak must have held beforehand.",F get_help -> (!get_help U (avoid_impending_gas_leak & !get_help)),G(get_help -> (F avoid_impending_gas_leak V get_help)),False
ARTEMIS,0,"If get_help ever holds, avoid the impending_gas_leak must have held beforehand.",F get_help -> (!get_help U (avoid_impending_gas_leak & !get_help)),G(get_help -> (F avoid_impending_gas_leak V get_help)),False
ARTEMIS,0,"If get_help ever holds, avoid the impending_gas_leak must have held beforehand.",F get_help -> (!get_help U (avoid_impending_gas_leak & !get_help)),G(get_help -> (F avoid_impending_gas_leak V get_help)),False
ARTEMIS,0,"If get_help ever holds, avoid the impending_gas_leak must have held beforehand.",F get_help -> (!get_help U (avoid_impending_gas_leak & !get_help)),G(get_help -> (F avoid_impending_gas_leak V get_help)),False
ARTEMIS,0,"If get_help ever holds, avoid the impending_gas_leak must have held beforehand.",F get_help -> (!get_help U (avoid_impending_gas_leak & !get_help)),G(get_help -> (F avoid_impending_gas_leak V get_help)),False
ARTEMIS,0,"If get_help ever holds, avoid the impending_gas_leak must have held beforehand.",F get_help -> (!get_help U (avoid_impending_gas_leak & !get_help)),G(get_help -> (F avoid_impending_gas_leak V get_help)),False
ARTEMIS,0,"If get_help ever holds, avoid the impending_gas_leak must have held beforehand.",F get_help -> (!get_help U (avoid_impending_gas_leak & !get_help)),G(get_help -> (F avoid_impending_gas_leak V get_help)),False
ARTEMIS,0,"If get_help ever holds, avoid the impending_gas_leak must have held beforehand.",F get_help -> (!get_help U (avoid_impending_gas_leak & !get_help)),G(get_help -> (F avoid_impending_gas_leak V get_help)),False
ARTEMIS,0,"If get_help ever holds, avoid the impending_gas_leak must have held beforehand.",F get_help -> (!get_help U (avoid_impending_gas_leak & !get_help)),G(get_help -> (F avoid_impending_gas_leak V get_help)),False
ARTEMIS,0,"If get_help ever holds, avoid the impending_gas_leak must have held beforehand.",F get_help -> (!get_help U (avoid_impending_gas_leak & !get_help)),G(get_help -> (F avoid_impending_gas_leak V get_help)),False
ARTEMIS,0,"If get_help ever holds, avoid the impending_gas_leak must have held beforehand.",F get_help -> (!get_help U (avoid_impending_gas_leak & !get_help)),G(get_help -> (F avoid_impending_gas_leak V get_help)),False
ARTEMIS,0,"If get_help ever holds, avoid the impending_gas_leak must have held beforehand.",F get_help -> (!get_help U (avoid_impending_gas_leak & !get_help)),G(get_help -> (F avoid_impending_gas_leak V get_help)),False
ARTEMIS,0,"If get_help ever holds, avoid the impending_gas_leak must have held beforehand.",F get_help -> (!get_help U (avoid_impending_gas_leak & !get_help)),G(get_help -> (avoid_impending_gas_leak V get_help)),False
ARTEMIS,0,"If get_help ever holds, avoid the impending_gas_leak must have held beforehand.",F get_help -> (!get_help U (avoid_impending_gas_leak & !get_help)),G(get_help -> (F avoid_impending_gas_leak V get_help)),False
ARTEMIS,0,"If get_help ever holds, avoid the impending_gas_leak must have held beforehand.",F get_help -> (!get_help U (avoid_impending_gas_leak & !get_help)),G(get_help -> (F avoid_impending_gas_leak V get_help)),False
ARTEMIS,0,"If get_help ever holds, avoid the impending_gas_leak must have held beforehand.",F get_help -> (!get_help U (avoid_impending_gas_leak & !get_help)),G(get_help -> (F avoid_impending_gas_leak V get_help)),False
ARTEMIS,0,"If get_help ever holds, avoid the impending_gas_leak must have held beforehand.",F get_help -> (!get_help U (avoid_impending_gas_leak & !get_help)),G(get_help -> (F avoid_impending_gas_leak V get_help)),False
ARTEMIS,0,"If get_help ever holds, avoid the impending_gas_leak must have held beforehand.",F get_help -> (!get_help U (avoid_impending_gas_leak & !get_help)),G(get_help -> (avoid_impending_gas_leak V get_help)),False
ARTEMIS,0,"If get_help ever holds, avoid the impending_gas_leak must have held beforehand.",F get_help -> (!get_help U (avoid_impending_gas_leak & !get_help)),G(get_help -> (F avoid_impending_gas_leak V get_help)),False
ARTEMIS,0,"If get_help ever holds, avoid the impending_gas_leak must have held beforehand.",F get_help -> (!get_help U (avoid_impending_gas_leak & !get_help)),G(get_help -> (F avoid_impending_gas_leak V get_help)),False
ARTEMIS,0,"If get_help ever holds, avoid the impending_gas_leak must have held beforehand.",F get_help -> (!get_help U (avoid_impending_gas_leak & !get_help)),G(get_help -> (F avoid_impending_gas_leak V get_help)),False
ARTEMIS,0,"If get_help ever holds, avoid the impending_gas_leak must have held beforehand.",F get_help -> (!get_help U (avoid_impending_gas_leak & !get_help)),G(get_help -> (F avoid_impending_gas_leak V get_help)),False
ARTEMIS,0,"If get_help ever holds, avoid the impending_gas_leak must have held beforehand.",F get_help -> (!get_help U (avoid_impending_gas_leak & !get_help)),G(get_help -> (avoid_impending_gas_leak V get_help)),False
ARTEMIS,0,"If get_help ever holds, avoid the impending_gas_leak must have held beforehand.",F get_help -> (!get_help U (avoid_impending_gas_leak & !get_help)),G(get_help -> (F avoid_impending_gas_leak V get_help)),False
ARTEMIS,0,"If get_help ever holds, avoid the impending_gas_leak must have held beforehand.",F get_help -> (!get_help U (avoid_impending_gas_leak & !get_help)),G(get_help -> (avoid_impending_gas_leak V get_help)),False
ARTEMIS,0,"If get_help ever holds, avoid the impending_gas_leak must have held beforehand.",F get_help -> (!get_help U (avoid_impending_gas_leak & !get_help)),G(get_help -> (avoid_impending_gas_leak V get_help)),False
ARTEMIS,0,"If get_help ever holds, avoid the impending_gas_leak must have held beforehand.",F get_help -> (!get_help U (avoid_impending_gas_leak & !get_help)),G(get_help -> (avoid_impending_gas_leak V get_help)),False
