PROMPTTYPE,Index,Requirement,Ground Truth,Response,Equivalent
BASIC,1,The sensor shall change states from NOMINAL to FAULT when limits are exceeded.,!limits U (limits & F(state_is_FAULT)),G(limits -> F state_is_FAULT),False
BASIC,1,The sensor shall change states from NOMINAL to FAULT when limits are exceeded.,!limits U (limits & F(state_is_FAULT)),G(limits -> F state_is_FAULT),False
BASIC,1,The sensor shall change states from NOMINAL to FAULT when limits are exceeded.,!limits U (limits & F(state_is_FAULT)),G(limits -> F state_is_FAULT),False
BASIC,1,The sensor shall change states from NOMINAL to FAULT when limits are exceeded.,!limits U (limits & F(state_is_FAULT)),G(limits -> F state_is_FAULT),False
BASIC,1,The sensor shall change states from NOMINAL to FAULT when limits are exceeded.,!limits U (limits & F(state_is_FAULT)),G(limits -> F state_is_FAULT),False
BASIC,1,The sensor shall change states from NOMINAL to FAULT when limits are exceeded.,!limits U (limits & F(state_is_FAULT)),G(limits -> X state_is_FAULT),False
BASIC,1,The sensor shall change states from NOMINAL to FAULT when limits are exceeded.,!limits U (limits & F(state_is_FAULT)),G(limits -> F state_is_FAULT),False
BASIC,1,The sensor shall change states from NOMINAL to FAULT when limits are exceeded.,!limits U (limits & F(state_is_FAULT)),G(limits -> F state_is_FAULT),False
BASIC,1,The sensor shall change states from NOMINAL to FAULT when limits are exceeded.,!limits U (limits & F(state_is_FAULT)),G(limits -> X state_is_FAULT),False
BASIC,1,The sensor shall change states from NOMINAL to FAULT when limits are exceeded.,!limits U (limits & F(state_is_FAULT)),G(limits -> X state_is_FAULT),False
BASIC,1,The sensor shall change states from NOMINAL to FAULT when limits are exceeded.,!limits U (limits & F(state_is_FAULT)),G(limits -> X state_is_FAULT),False
BASIC,1,The sensor shall change states from NOMINAL to FAULT when limits are exceeded.,!limits U (limits & F(state_is_FAULT)),G(limits -> F state_is_FAULT),False
BASIC,1,The sensor shall change states from NOMINAL to FAULT when limits are exceeded.,!limits U (limits & F(state_is_FAULT)),G(limits -> X state_is_FAULT),False
BASIC,1,The sensor shall change states from NOMINAL to FAULT when limits are exceeded.,!limits U (limits & F(state_is_FAULT)),G(limits -> X state_is_FAULT),False
BASIC,1,The sensor shall change states from NOMINAL to FAULT when limits are exceeded.,!limits U (limits & F(state_is_FAULT)),G(limits -> F state_is_FAULT),False
BASIC,1,The sensor shall change states from NOMINAL to FAULT when limits are exceeded.,!limits U (limits & F(state_is_FAULT)),G(limits -> F state_is_FAULT),False
BASIC,1,The sensor shall change states from NOMINAL to FAULT when limits are exceeded.,!limits U (limits & F(state_is_FAULT)),G(limits -> F state_is_FAULT),False
BASIC,1,The sensor shall change states from NOMINAL to FAULT when limits are exceeded.,!limits U (limits & F(state_is_FAULT)),G(limits -> F state_is_FAULT),False
BASIC,1,The sensor shall change states from NOMINAL to FAULT when limits are exceeded.,!limits U (limits & F(state_is_FAULT)),G(limits -> F state_is_FAULT),False
BASIC,1,The sensor shall change states from NOMINAL to FAULT when limits are exceeded.,!limits U (limits & F(state_is_FAULT)),G(limits -> F state_is_FAULT),False
BASIC,1,The sensor shall change states from NOMINAL to FAULT when limits are exceeded.,!limits U (limits & F(state_is_FAULT)),G(limits -> F state_is_FAULT),False
BASIC,1,The sensor shall change states from NOMINAL to FAULT when limits are exceeded.,!limits U (limits & F(state_is_FAULT)),G(limits -> F state_is_FAULT),False
BASIC,1,The sensor shall change states from NOMINAL to FAULT when limits are exceeded.,!limits U (limits & F(state_is_FAULT)),G(limits -> F state_is_FAULT),False
BASIC,1,The sensor shall change states from NOMINAL to FAULT when limits are exceeded.,!limits U (limits & F(state_is_FAULT)),G(limits -> F state_is_FAULT),False
BASIC,1,The sensor shall change states from NOMINAL to FAULT when limits are exceeded.,!limits U (limits & F(state_is_FAULT)),G(limits -> F state_is_FAULT),False
BASIC,1,The sensor shall change states from NOMINAL to FAULT when limits are exceeded.,!limits U (limits & F(state_is_FAULT)),G(limits -> X state_is_FAULT),False
BASIC,1,The sensor shall change states from NOMINAL to FAULT when limits are exceeded.,!limits U (limits & F(state_is_FAULT)),G(limits -> F state_is_FAULT),False
BASIC,1,The sensor shall change states from NOMINAL to FAULT when limits are exceeded.,!limits U (limits & F(state_is_FAULT)),G(limits -> X state_is_FAULT),False
BASIC,1,The sensor shall change states from NOMINAL to FAULT when limits are exceeded.,!limits U (limits & F(state_is_FAULT)),G(limits -> F state_is_FAULT),False
BASIC,1,The sensor shall change states from NOMINAL to FAULT when limits are exceeded.,!limits U (limits & F(state_is_FAULT)),G(limits -> F state_is_FAULT),False
BASIC,1,The sensor shall change states from NOMINAL to FAULT when limits are exceeded.,!limits U (limits & F(state_is_FAULT)),G(limits -> F state_is_FAULT),False
BASIC,1,The sensor shall change states from NOMINAL to FAULT when limits are exceeded.,!limits U (limits & F(state_is_FAULT)),G(limits -> F state_is_FAULT),False
BASIC,1,The sensor shall change states from NOMINAL to FAULT when limits are exceeded.,!limits U (limits & F(state_is_FAULT)),G(limits -> F state_is_FAULT),False
BASIC,1,The sensor shall change states from NOMINAL to FAULT when limits are exceeded.,!limits U (limits & F(state_is_FAULT)),G(limits -> F state_is_FAULT),False
BASIC,1,The sensor shall change states from NOMINAL to FAULT when limits are exceeded.,!limits U (limits & F(state_is_FAULT)),G(limits -> F state_is_FAULT),False
BASIC,1,The sensor shall change states from NOMINAL to FAULT when limits are exceeded.,!limits U (limits & F(state_is_FAULT)),G(limits -> F state_is_FAULT),False
BASIC,1,The sensor shall change states from NOMINAL to FAULT when limits are exceeded.,!limits U (limits & F(state_is_FAULT)),G(limits -> F state_is_FAULT),False
BASIC,1,The sensor shall change states from NOMINAL to FAULT when limits are exceeded.,!limits U (limits & F(state_is_FAULT)),G(limits -> F state_is_FAULT),False
BASIC,1,The sensor shall change states from NOMINAL to FAULT when limits are exceeded.,!limits U (limits & F(state_is_FAULT)),G(limits -> F state_is_FAULT),False
